source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,peptidase activity,GO:0008233,TRUE,2.04E-08,7.690200046,597,91,23,11911,"FBGN0011556,FBGN0015001,FBGN0015316,FBGN0023197,FBGN0028945,FBGN0028948,FBGN0028949,FBGN0029843,FBGN0030932,FBGN0031929,FBGN0031930,FBGN0034052,FBGN0034437,FBGN0034438,FBGN0034439,FBGN0038481,FBGN0038482,FBGN0050043,FBGN0050047,FBGN0050090,FBGN0051265,FBGN0051266,FBGN0051267"
GO:MF,catalytic activity,GO:0003824,FALSE,4.16E-07,6.380950938,4157,91,60,11911,"FBGN0001187,FBGN0003388,FBGN0005670,FBGN0011556,FBGN0011576,FBGN0013772,FBGN0015001,FBGN0015316,FBGN0015570,FBGN0023197,FBGN0026756,FBGN0028945,FBGN0028948,FBGN0028949,FBGN0029843,FBGN0030367,FBGN0030509,FBGN0030594,FBGN0030746,FBGN0030932,FBGN0031033,FBGN0031034,FBGN0031184,FBGN0031515,FBGN0031533,FBGN0031693,FBGN0031929,FBGN0031930,FBGN0032067,FBGN0032253,FBGN0033093,FBGN0033215,FBGN0033292,FBGN0034052,FBGN0034356,FBGN0034429,FBGN0034437,FBGN0034438,FBGN0034439,FBGN0034538,FBGN0034605,FBGN0035006,FBGN0035348,FBGN0035868,FBGN0037612,FBGN0037613,FBGN0037684,FBGN0038481,FBGN0038482,FBGN0039768,FBGN0039769,FBGN0043783,FBGN0045852,FBGN0050043,FBGN0050047,FBGN0050090,FBGN0051091,FBGN0051265,FBGN0051266,FBGN0051267"
GO:MF,metallopeptidase activity,GO:0008237,FALSE,2.95657E-05,4.529211113,178,91,11,11911,"FBGN0028945,FBGN0028948,FBGN0028949,FBGN0029843,FBGN0031929,FBGN0031930,FBGN0034437,FBGN0034438,FBGN0034439,FBGN0050043,FBGN0050047"
GO:MF,endopeptidase activity,GO:0004175,FALSE,0.000188183,3.72542046,423,91,15,11911,"FBGN0011556,FBGN0015001,FBGN0015316,FBGN0023197,FBGN0028945,FBGN0028948,FBGN0028949,FBGN0029843,FBGN0034052,FBGN0038481,FBGN0038482,FBGN0050090,FBGN0051265,FBGN0051266,FBGN0051267"
GO:MF,hydrolase activity,GO:0016787,FALSE,0.00039473,3.403699806,1877,91,33,11911,"FBGN0011556,FBGN0015001,FBGN0015316,FBGN0015570,FBGN0023197,FBGN0028945,FBGN0028948,FBGN0028949,FBGN0029843,FBGN0030746,FBGN0030932,FBGN0031515,FBGN0031533,FBGN0031929,FBGN0031930,FBGN0032067,FBGN0032253,FBGN0034052,FBGN0034437,FBGN0034438,FBGN0034439,FBGN0034538,FBGN0038481,FBGN0038482,FBGN0039768,FBGN0039769,FBGN0050043,FBGN0050047,FBGN0050090,FBGN0051091,FBGN0051265,FBGN0051266,FBGN0051267"
GO:MF,metalloexopeptidase activity,GO:0008235,FALSE,0.000644729,3.190622606,79,91,7,11911,"FBGN0031929,FBGN0031930,FBGN0034437,FBGN0034438,FBGN0034439,FBGN0050043,FBGN0050047"
GO:MF,monooxygenase activity,GO:0004497,TRUE,0.000745319,3.127657882,115,91,8,11911,"FBGN0003388,FBGN0005670,FBGN0011576,FBGN0013772,FBGN0030367,FBGN0030509,FBGN0031693,FBGN0033292"
GO:MF,serine-type endopeptidase activity,GO:0004252,FALSE,0.002657669,2.575499074,281,91,11,11911,"FBGN0011556,FBGN0015001,FBGN0015316,FBGN0023197,FBGN0034052,FBGN0038481,FBGN0038482,FBGN0050090,FBGN0051265,FBGN0051266,FBGN0051267"
GO:MF,heme binding,GO:0020037,TRUE,0.003056009,2.5148454,139,91,8,11911,"FBGN0003388,FBGN0005670,FBGN0011576,FBGN0013772,FBGN0030367,FBGN0031693,FBGN0033292,FBGN0036575"
GO:MF,tetrapyrrole binding,GO:0046906,FALSE,0.003221156,2.491988265,140,91,8,11911,"FBGN0003388,FBGN0005670,FBGN0011576,FBGN0013772,FBGN0030367,FBGN0031693,FBGN0033292,FBGN0036575"
