Sample	Reads passing filters
SRX298280_1	21540700.0
SRX298280_2	21540700.0
SRX298281_1	15842949.0
SRX298281_2	15842949.0
SRX298282_1	28873778.0
SRX298282_2	28873778.0
SRX298283_1	23422674.0
SRX298283_2	23422674.0
SRX298284_1	35142429.0
SRX298284_2	35142429.0
SRX298285_1	31081416.0
SRX298285_2	31081416.0
SRX298286_1	54737219.0
SRX298286_2	54737219.0
SRX298287_1	33778674.0
SRX298287_2	33778674.0
SRX298288_1	18763469.0
SRX298288_2	18763469.0
SRX298289_1	16791511.0
SRX298289_2	16791511.0
SRX298290_1	21990420.0
SRX298290_2	21990420.0
SRX298291_1	18349262.0
SRX298291_2	18349262.0
SRX298292_1	19361553.0
SRX298292_2	19361553.0
SRX298293_1	25548915.0
SRX298293_2	25548915.0
SRX298294_1	27672626.0
SRX298294_2	27672626.0
SRX298295_1	52665384.0
SRX298295_2	52665384.0
SRX298296_1	18367347.0
SRX298296_2	18367347.0
SRX298297_1	29113961.0
SRX298297_2	29113961.0
SRX298298_1	15447041.0
SRX298298_2	15447041.0
SRX298299_1	17293145.0
SRX298299_2	17293145.0
SRX298300_1	32269008.0
SRX298300_2	32269008.0
SRX298301_1	13601509.0
SRX298301_2	13601509.0
SRX298302_1	46536390.0
SRX298302_2	46536390.0
SRX298303_1	45001526.0
SRX298303_2	45001526.0
SRX298304_1	28445684.0
SRX298304_2	28445684.0
SRX298305_1	34219046.0
SRX298305_2	34219046.0
SRX298306_1	46272085.0
SRX298306_2	46272085.0
SRX298307_1	34535529.0
SRX298307_2	34535529.0
SRX298308_1	27207891.0
SRX298308_2	27207891.0
SRX298309_1	28128808.0
SRX298309_2	28128808.0
