	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298280_1 - Adapter 1	4584682	1462596	311067	75056	32792	17726	3102	1457	1990	1409	2019	1026	851	863	824	686	800	747	568	576	573	593	491	506	504	431	499	497	465	513	300	423	365	450	377	476	492	750	318	345	477	344	264	197	252	410	283	267	262	273	379	371	442	257	238	351	312	337	397	340	299	457	726	968	523	721	767	1104	2113	3218	2405	2303	1566	990	311	89	88	28	22	11	21	35	35	15	22	15	22	12	25	22	25	27	13	18	14	16	52	14	6	20
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298280_2 - Adapter 1	4394220	1424122	289687	71714	32320	17191	3099	1528	2089	1515	1987	1115	851	1127	622	805	1130	465	678	645	228	492	489	845	493	646	470	686	344	908	85	354	205	191	317	282	314	358	349	313	420	654	179	349	487	291	274	209	228	352	453	216	162	265	313	211	263	473	415	445	467	893	2309	3811	5859	3118	466	173	77	29	29	25	21	23	30	19	24	31	16	21	23	31	30	17	20	20	28	22	22	11	20	23	15	9	16	15	60	7	6	7
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298281_1 - Adapter 1	3418538	1055077	226633	55589	23892	9407	2096	1016	1355	1002	1625	660	510	511	470	448	503	490	368	305	314	331	333	293	285	285	317	283	304	349	214	271	230	281	213	257	357	296	245	235	303	190	190	140	215	313	205	225	214	205	304	329	336	185	163	270	205	254	315	235	218	337	552	652	362	512	496	758	1387	2213	1640	1504	974	699	248	83	54	30	18	16	21	19	21	19	11	10	13	12	10	15	16	10	9	6	14	5	38	7	5	7
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRX298281_2 - Adapter 1	3272935	1023525	211077	53767	23536	9285	2102	1110	1417	1079	1744	737	540	696	372	452	594	316	437	380	139	294	339	435	263	370	263	376	212	586	65	206	132	150	177	175	248	208	194	215	285	433	125	263	308	193	191	152	182	267	323	184	127	188	221	195	199	351	281	351	363	665	1656	2584	4079	2210	324	91	43	18	22	13	15	8	14	13	18	20	14	16	16	24	22	13	13	12	18	14	9	14	18	14	13	10	11	6	37	7	1
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298282_1 - Adapter 1	6146952	1967599	414831	100425	44506	22842	3933	2055	2666	1901	2940	1352	1123	1100	1157	906	1093	1021	829	833	729	833	783	679	692	634	791	688	734	715	499	605	497	700	633	592	645	860	541	590	761	554	402	354	477	671	466	515	486	425	615	681	700	431	341	579	572	602	707	719	528	845	1365	1525	886	1160	1302	1883	3470	5438	4052	3931	2467	1523	457	143	89	60	50	25	34	65	42	26	25	25	40	25	41	23	49	56	16	11	27	32	85	19	15	18
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
