	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298280_1 - Adapter 1	0.8513524630118798	1.086386938720211	0.9242174218164596	0.8920010363260815	1.5588663136177374	3.3706027761931927	2.359473644177379	4.432613325220566	24.209245742092456	68.73170731707317	395.8823529411765	789.2307692307692	2836.666666666667	2876.666666666667	2746.666666666667	2286.666666666667	2666.666666666667	2490.0	1893.3333333333335	1920.0	1910.0	1976.6666666666667	1636.6666666666667	1686.6666666666667	1680.0	1436.6666666666667	1663.3333333333335	1656.6666666666667	1550.0	1710.0	1000.0	1410.0	1216.6666666666667	1500.0	1256.6666666666667	1586.6666666666667	1640.0	2500.0	1060.0	1150.0	1590.0	1146.6666666666667	880.0	656.6666666666667	840.0	1366.6666666666667	943.3333333333334	890.0	873.3333333333334	910.0	1263.3333333333335	1236.6666666666667	1473.3333333333335	856.6666666666667	793.3333333333334	1170.0	1040.0	1123.3333333333335	1323.3333333333335	1133.3333333333335	996.6666666666667	1523.3333333333335	2420.0	3226.666666666667	1743.3333333333335	2403.3333333333335	2556.666666666667	3680.0	7043.333333333334	10726.666666666668	8016.666666666667	7676.666666666667	5220.0	3300.0	1036.6666666666667	296.6666666666667	293.33333333333337	93.33333333333334	73.33333333333334	36.66666666666667	70.0	116.66666666666667	116.66666666666667	50.0	73.33333333333334	50.0	73.33333333333334	40.0	83.33333333333334	73.33333333333334	83.33333333333334	90.0	43.333333333333336	60.0	46.66666666666667	53.333333333333336	173.33333333333334	46.66666666666667	20.0	66.66666666666667
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298280_2 - Adapter 1	0.8159846244551012	1.0578092241084376	0.8606948736887704	0.8522831261869619	1.536428374485401	3.2688724092032704	2.357191754772952	4.648615759050807	25.413625304136254	73.90243902439025	389.6078431372549	857.6923076923076	2836.666666666667	3756.666666666667	2073.3333333333335	2683.3333333333335	3766.666666666667	1550.0	2260.0	2150.0	760.0	1640.0	1630.0	2816.666666666667	1643.3333333333335	2153.3333333333335	1566.6666666666667	2286.666666666667	1146.6666666666667	3026.666666666667	283.33333333333337	1180.0	683.3333333333334	636.6666666666667	1056.6666666666667	940.0	1046.6666666666667	1193.3333333333335	1163.3333333333335	1043.3333333333335	1400.0	2180.0	596.6666666666667	1163.3333333333335	1623.3333333333335	970.0	913.3333333333334	696.6666666666667	760.0	1173.3333333333335	1510.0	720.0	540.0	883.3333333333334	1043.3333333333335	703.3333333333334	876.6666666666667	1576.6666666666667	1383.3333333333335	1483.3333333333335	1556.6666666666667	2976.666666666667	7696.666666666667	12703.333333333334	19530.0	10393.333333333334	1553.3333333333335	576.6666666666667	256.6666666666667	96.66666666666667	96.66666666666667	83.33333333333334	70.0	76.66666666666667	100.0	63.333333333333336	80.0	103.33333333333334	53.333333333333336	70.0	76.66666666666667	103.33333333333334	100.0	56.66666666666667	66.66666666666667	66.66666666666667	93.33333333333334	73.33333333333334	73.33333333333334	36.66666666666667	66.66666666666667	76.66666666666667	50.0	30.0	53.333333333333336	50.0	200.0	23.333333333333336	20.0	23.333333333333336
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298281_1 - Adapter 1	0.8631064944172514	1.0655359815339427	0.9155183620343846	0.8982411349809732	1.5442488171876212	2.432069081413687	2.167528438469493	4.203558129913116	22.433774834437088	66.35761589403974	427.63157894736844	733.3333333333334	2550.0	2555.0	2350.0	2240.0	2515.0	2450.0	1840.0	1525.0	1570.0	1655.0	1665.0	1465.0	1425.0	1425.0	1585.0	1415.0	1520.0	1745.0	1070.0	1355.0	1150.0	1405.0	1065.0	1285.0	1785.0	1480.0	1225.0	1175.0	1515.0	950.0	950.0	700.0	1075.0	1565.0	1025.0	1125.0	1070.0	1025.0	1520.0	1645.0	1680.0	925.0	815.0	1350.0	1025.0	1270.0	1575.0	1175.0	1090.0	1685.0	2760.0	3260.0	1810.0	2560.0	2480.0	3790.0	6935.0	11065.0	8200.0	7520.0	4870.0	3495.0	1240.0	415.0	270.0	150.0	90.0	80.0	105.0	95.0	105.0	95.0	55.0	50.0	65.0	60.0	50.0	75.0	80.0	50.0	45.0	30.0	70.0	25.0	190.0	35.0	25.0	35.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRX298281_2 - Adapter 1	0.826344903670963	1.0336712064612616	0.8526775416780955	0.8688001421957939	1.5212389151736083	2.400527417978748	2.1737331954498447	4.59247000413736	23.460264900662253	71.45695364238411	458.94736842105266	818.8888888888889	2700.0	3480.0	1860.0	2260.0	2970.0	1580.0	2185.0	1900.0	695.0	1470.0	1695.0	2175.0	1315.0	1850.0	1315.0	1880.0	1060.0	2930.0	325.0	1030.0	660.0	750.0	885.0	875.0	1240.0	1040.0	970.0	1075.0	1425.0	2165.0	625.0	1315.0	1540.0	965.0	955.0	760.0	910.0	1335.0	1615.0	920.0	635.0	940.0	1105.0	975.0	995.0	1755.0	1405.0	1755.0	1815.0	3325.0	8280.0	12920.0	20395.0	11050.0	1620.0	455.0	215.0	90.0	110.0	65.0	75.0	40.0	70.0	65.0	90.0	100.0	70.0	80.0	80.0	120.0	110.0	65.0	65.0	60.0	90.0	70.0	45.0	70.0	90.0	70.0	65.0	50.0	55.0	30.0	185.0	35.0	5.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298282_1 - Adapter 1	0.8515618565745016	1.0903174650759933	0.9194911347109006	0.8903856963760394	1.5783948647019186	3.2403217340728867	2.2317426090903933	4.6640944167044935	24.21435059037239	69.12727272727273	426.0869565217391	795.2941176470589	2807.5	2750.0	2892.5	2265.0	2732.5	2552.5	2072.5	2082.5	1822.5	2082.5	1957.5	1697.5	1730.0	1585.0	1977.5	1720.0	1835.0	1787.5	1247.5	1512.5	1242.5	1750.0	1582.5	1480.0	1612.5	2150.0	1352.5	1475.0	1902.5	1385.0	1005.0	885.0	1192.5	1677.5	1165.0	1287.5	1215.0	1062.5	1537.5	1702.5	1750.0	1077.5	852.5	1447.5	1430.0	1505.0	1767.5	1797.5	1320.0	2112.5	3412.5	3812.5	2215.0	2900.0	3255.0	4707.5	8675.0	13595.0	10130.0	9827.5	6167.5	3807.5	1142.5	357.5	222.5	150.0	125.0	62.5	85.0	162.5	105.0	65.0	62.5	62.5	100.0	62.5	102.5	57.5	122.5	140.0	40.0	27.5	67.5	80.0	212.5	47.5	37.5	45.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298282_2 - Adapter 1	0.8174576946598398	1.0571623991451675	0.8571353208934978	0.8623419825832844	1.5280703620952583	3.1396025137247667	2.279407592350905	4.754879709487063	25.858310626703	75.45454545454545	439.7101449275362	881.1764705882354	3112.5	3765.0	2397.5	2557.5	3645.0	1612.5	2382.5	2162.5	825.0	1712.5	2002.5	2695.0	1755.0	2167.5	1885.0	2400.0	1222.5	3517.5	380.0	1250.0	822.5	960.0	1087.5	980.0	1230.0	1255.0	1360.0	1210.0	1652.5	2470.0	775.0	1420.0	1835.0	1105.0	985.0	972.5	952.5	1422.5	1622.5	937.5	627.5	1042.5	1337.5	925.0	1207.5	1985.0	1730.0	2337.5	2360.0	3817.5	9932.5	16162.5	24957.5	12987.5	2212.5	642.5	282.5	120.0	102.5	80.0	110.0	82.5	115.0	102.5	95.0	87.5	92.5	72.5	62.5	127.5	100.0	87.5	82.5	62.5	112.5	80.0	62.5	52.5	110.0	77.5	35.0	40.0	82.5	55.0	180.0	50.0	17.5	12.5
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
