Sample	Sum of remaining overrepresented sequences	Top overrepresented sequence
SRX298280_1	0.6466175624414625	0.2836211056025304
SRX298280_2	0.6011839392638222	0.2434561761163169
SRX298281_1	0.6362612467659514	0.23046377222000541
SRX298281_2	0.420098083383748	0.19875400635868656
SRX298282_1	0.7486909144532838	0.31248734567996034
SRX298282_2	0.6943366933322206	0.2675557938348206
SRX298283_1	0.7022276052407392	0.19725972885747314
SRX298283_2	0.711068170532984	0.20761209597856373
SRX298284_1	0.3580159983764252	0.13962754551783968
SRX298284_2	0.3662969959309912	0.14512499009139312
SRX298285_1	0.6084986324739479	0.16320057710633226
SRX298285_2	0.5668993219558536	0.17261334417267504
SRX298286_1	0.106402712203883	0.13259679196093457
SRX298286_2	0.10970778214756571	0.14353339911356156
SRX298287_1	0.11327908169453829	0.12755884453527197
SRX298287_2	0.21864774777529739	0.1440853704839986
SRX298288_1	0.1100757481562217	0.11250809080419397
SRX298288_2	0.21075405614902476	0.11947318831964031
SRX298289_1	0.2546676312428796	0.15880143784047115
SRX298289_2	0.23944293589683793	0.13120553430175078
SRX298290_1	0.6184406506565836	0.2846255258126373
SRX298290_2	0.4810119778998291	0.25611136599609496
SRX298291_1	0.7640810507099931	0.2646318117818453
SRX298291_2	0.7527216036030434	0.25251173698493845
SRX298292_1	0.7998076833422505	0.38722333205312515
SRX298292_2	0.7920799196650865	0.341475182514238
SRX298293_1	0.42362654148982154	0.15751081117706917
SRX298293_2	0.2172980436841316	0.15719808289544693
SRX298294_1	0.4756655825688495	0.2076699013471109
SRX298294_2	0.4805325287829687	0.18042016837419975
SRX298295_1	0.26090410154978516	0.17097727044868566
SRX298295_2	0.2626948339013645	0.1713520299699439
SRX298296_1	0.41835087963377393	0.16221655683080752
SRX298296_2	0.4200913292628614	0.16285398265037776
SRX298297_1	0.34535769151942036	0.1871742904238976
SRX298297_2	0.34145136625040073	0.18492158446158402
SRX298298_1	0.9894060296119982	0.20574618181548782
SRX298298_2	0.651681715736884	0.18346098098805794
SRX298299_1	0.31357068221290735	0.1708056932875724
SRX298299_2	0.21144174973524146	0.12738440938015147
SRX298300_1	1.238517223630536	0.24706293930910542
SRX298300_2	0.8755905252666569	0.19913579236991594
SRX298301_1	0.0	0.14921410325168136
SRX298301_2	0.0	0.17158184649994365
SRX298302_1	0.10652069306805903	0.12749282597591563
SRX298302_2	0.10846617623802665	0.1339638631112369
SRX298303_1	0.22998335130869185	0.14373336164966988
SRX298303_2	0.1090896686886631	0.12734191987708232
SRX298304_1	1.0987745572163128	0.22314159334005734
SRX298304_2	1.0113697083903768	0.2351024081442478
SRX298305_1	0.5014418128140316	0.1759344143894143
SRX298305_2	0.4877732555447668	0.15496618311539012
SRX298306_1	0.7464258542719329	0.17249187540028793
SRX298306_2	0.6356098529246549	0.14694104143405587
SRX298307_1	0.4018802165207288	0.20017166370319503
SRX298307_2	0.41155462256416775	0.19740881679822764
SRX298308_1	0.0	0.19310332720555262
SRX298308_2	0.0	0.1940192504160772
SRX298309_1	0.14186382391618688	0.16830004532079793
SRX298309_2	0.14049410926162803	0.16807783097524448
