Sample	Sum of remaining overrepresented sequences	Top overrepresented sequence
SRX298280_1	0.7616372726977303	0.28946598764199866
SRX298280_2	0.613629083548817	0.24837632946004543
SRX298281_1	0.6453659605923114	0.23482370611683467
SRX298281_2	0.5231791126765604	0.2026390415067296
SRX298282_1	0.7631249364042352	0.3186074229704197
SRX298282_2	0.7056818127506557	0.27241672357527996
SRX298283_1	0.6978024797681085	0.19543456054590524
SRX298283_2	0.7054788022921721	0.20521568118140568
SRX298284_1	0.3551604244544394	0.13826591212576683
SRX298284_2	0.36266417440866144	0.14370662881612423
SRX298285_1	0.6140582526870719	0.1614179997462149
SRX298285_2	0.5690538680734495	0.17045555453458106
SRX298286_1	0.10500898849099366	0.13109727039658337
SRX298286_2	0.10787175724071768	0.14150335259085778
SRX298287_1	0.11225129796391653	0.12618612560102271
SRX298287_2	0.11638112259824054	0.14219918757024033
SRX298288_1	0.10892975067670056	0.11124275580384417
SRX298288_2	0.20928965747218706	0.11781403534708854
SRX298289_1	0.2576063583557192	0.16084913382720592
SRX298289_2	0.2407168717574017	0.1317927850566873
SRX298290_1	0.6241581561425384	0.28574715717116816
SRX298290_2	0.48143236918621835	0.2553748404987263
SRX298291_1	0.7762655522603581	0.26944952881483736
SRX298291_2	0.7624829816043827	0.2562555376886547
SRX298292_1	0.7982469174864226	0.3909861982662238
SRX298292_2	0.6885553033891444	0.3424983522757704
SRX298293_1	0.42285161620366263	0.15667592929093074
SRX298293_2	0.21520287652137085	0.1554273439791866
SRX298294_1	0.5755579539144569	0.21185918531909476
SRX298294_2	0.4774140336374293	0.18365803086414711
SRX298295_1	0.25860629820908554	0.16954020500448644
SRX298295_2	0.2596544250014393	0.16954020500448644
SRX298296_1	0.41450188750721595	0.1624241105696974
SRX298296_2	0.4155798875036226	0.16322444390036295
SRX298297_1	0.3430244342224681	0.18514141720530575
SRX298297_2	0.33820200556015034	0.18273020287414687
SRX298298_1	0.888869266288605	0.2095029073853044
SRX298298_2	0.7480785478591013	0.18636579005649043
SRX298299_1	0.21352391366636897	0.17401114719156058
SRX298299_2	0.20915802186357657	0.12958313828976742
SRX298300_1	1.2393191634524372	0.25305395195290786
SRX298300_2	0.9711950240304876	0.20352965297228848
SRX298301_1	0.0	0.14668225415282965
SRX298301_2	0.0	0.1678416710969349
SRX298302_1	0.1065531726891579	0.12615718580663435
SRX298302_2	0.10819060094691488	0.13216323827439128
SRX298303_1	0.23117882713577312	0.1472905607689837
SRX298303_2	0.11171398943226948	0.12575129118954767
SRX298304_1	1.1940651523795316	0.2203919582316952
SRX298304_2	0.9990232613144404	0.231233673270082
SRX298305_1	0.5012588603434474	0.18011898987482
SRX298305_2	0.4900925642403941	0.15248233396103444
SRX298306_1	0.7490412416038741	0.17727318749522525
SRX298306_2	0.6330317728280452	0.1510478725996462
SRX298307_1	0.39926998077834563	0.197787617499648
SRX298307_2	0.4070764342425448	0.19446929566360485
SRX298308_1	0.0	0.19209868195958296
SRX298308_2	0.0	0.18828361227998155
SRX298309_1	0.13994905152041992	0.16643079934279476
SRX298309_2	0.13800442592519388	0.16554203078921795
