Sample	Unique Reads	Duplicate Reads
SRX298280_1	5608481.0	15554260.0
SRX298280_2	6095580.0	15067161.0
SRX298281_1	4628427.0	10909373.0
SRX298281_2	4950675.0	10587125.0
SRX298282_1	6400606.0	21924701.0
SRX298282_2	7055036.0	21270271.0
SRX298283_1	6424037.0	16594853.0
SRX298283_2	6908439.0	16110451.0
SRX298284_1	8804647.0	25647724.0
SRX298284_2	9866044.0	24586327.0
SRX298285_1	8457979.0	22011276.0
SRX298285_2	9449230.0	21020025.0
SRX298286_1	12779676.0	40774410.0
SRX298286_2	14806226.0	38747860.0
SRX298287_1	8867410.0	24291404.0
SRX298287_2	9846455.0	23312359.0
SRX298288_1	6172580.0	12204765.0
SRX298288_2	6564794.0	11812551.0
SRX298289_1	4511002.0	11889983.0
SRX298289_2	4816768.0	11584217.0
SRX298290_1	4447019.0	17061593.0
SRX298290_2	4944920.0	16563692.0
SRX298291_1	4560856.0	13450584.0
SRX298291_2	5058856.0	12952584.0
SRX298292_1	4787451.0	14131347.0
SRX298292_2	5270634.0	13648164.0
SRX298293_1	5232212.0	19709568.0
SRX298293_2	5916539.0	19025241.0
SRX298294_1	6787475.0	20313708.0
SRX298294_2	7496871.0	19604312.0
SRX298295_1	9869535.0	41896995.0
SRX298295_2	11263419.0	40503111.0
SRX298296_1	5553359.0	12487956.0
SRX298296_2	5948838.0	12092477.0
SRX298297_1	7988519.0	20554931.0
SRX298297_2	8662107.0	19881343.0
SRX298298_1	4408051.0	10709605.0
SRX298298_2	4780605.0	10337051.0
SRX298299_1	4548949.0	12433506.0
SRX298299_2	4966454.0	12016001.0
SRX298300_1	7575829.0	24024216.0
SRX298300_2	8492851.0	23107194.0
SRX298301_1	2063754.0	11156176.0
SRX298301_2	2513474.0	10706456.0
SRX298302_1	9832446.0	35708940.0
SRX298302_2	11225488.0	34315898.0
SRX298303_1	10007820.0	34112765.0
SRX298303_2	11312618.0	32807967.0
SRX298304_1	6234488.0	21598064.0
SRX298304_2	6902902.0	20929650.0
SRX298305_1	8090698.0	25321753.0
SRX298305_2	8926808.0	24485643.0
SRX298306_1	10636841.0	34633697.0
SRX298306_2	11974833.0	33295705.0
SRX298307_1	7757915.0	26011600.0
SRX298307_2	8720306.0	25049209.0
SRX298308_1	5988944.0	20214126.0
SRX298308_2	6784778.0	19418292.0
SRX298309_1	6401912.0	21049061.0
SRX298309_2	7324378.0	20126595.0
