Sample	Unique Reads	Duplicate Reads
SRX298280_1	5514018.0	16026682.0
SRX298280_2	6086865.0	15453835.0
SRX298281_1	4590071.0	11252878.0
SRX298281_2	5017872.0	10825077.0
SRX298282_1	6281981.0	22591797.0
SRX298282_2	7054925.0	21818853.0
SRX298283_1	6353455.0	17069219.0
SRX298283_2	6893197.0	16529477.0
SRX298284_1	8628918.0	26513511.0
SRX298284_2	9731760.0	25410669.0
SRX298285_1	8311004.0	22770412.0
SRX298285_2	9385723.0	21695693.0
SRX298286_1	12458193.0	42279026.0
SRX298286_2	14708366.0	40028853.0
SRX298287_1	8693601.0	25085073.0
SRX298287_2	9725417.0	24053257.0
SRX298288_1	6166922.0	12596547.0
SRX298288_2	6595818.0	12167651.0
SRX298289_1	4512186.0	12279325.0
SRX298289_2	4881212.0	11910299.0
SRX298290_1	4412516.0	17577904.0
SRX298290_2	4963894.0	17026526.0
SRX298291_1	4510225.0	13839037.0
SRX298291_2	5040733.0	13308529.0
SRX298292_1	4741855.0	14619698.0
SRX298292_2	5318621.0	14042932.0
SRX298293_1	5161567.0	20387348.0
SRX298293_2	5949420.0	19599495.0
SRX298294_1	6701610.0	20971016.0
SRX298294_2	7498742.0	20173884.0
SRX298295_1	9568430.0	43096954.0
SRX298295_2	11033546.0	41631838.0
SRX298296_1	5527283.0	12840064.0
SRX298296_2	5957056.0	12410291.0
SRX298297_1	7962685.0	21151276.0
SRX298297_2	8745716.0	20368245.0
SRX298298_1	4388064.0	11058977.0
SRX298298_2	4796110.0	10650931.0
SRX298299_1	4519411.0	12773734.0
SRX298299_2	4960911.0	12332234.0
SRX298300_1	7482729.0	24786279.0
SRX298300_2	8432352.0	23836656.0
SRX298301_1	1999940.0	11601569.0
SRX298301_2	2541386.0	11060123.0
SRX298302_1	9628038.0	36908352.0
SRX298302_2	11244192.0	35292198.0
SRX298303_1	9802716.0	35198810.0
SRX298303_2	11231010.0	33770516.0
SRX298304_1	6118296.0	22327388.0
SRX298304_2	6857344.0	21588340.0
SRX298305_1	7947912.0	26271134.0
SRX298305_2	8986947.0	25232099.0
SRX298306_1	10422171.0	35849914.0
SRX298306_2	11876031.0	34396054.0
SRX298307_1	7629639.0	26905890.0
SRX298307_2	8709909.0	25825620.0
SRX298308_1	5992074.0	21215817.0
SRX298308_2	7396551.0	19811340.0
SRX298309_1	6307829.0	21820979.0
SRX298309_2	7343620.0	20785188.0
