Sample	Unique Pairs	Duplicate Pairs Nonoptical	Duplicate Unpaired	Unique Unpaired
SRX298280	20632924.0	16292622.0	49688.0	7365.0
SRX298281	16870864.0	10151610.0	34784.0	6716.0
SRX298282	22078314.0	27291174.0	68201.0	8888.0
SRX298283	22930874.0	13863762.0	47733.0	8385.0
SRX298284	33120482.0	23525124.0	95582.0	11718.0
SRX298285	33001658.0	17592302.0	66541.0	9751.0
SRX298286	55964724.0	38097718.0	116792.0	11628.0
SRX298287	33782900.0	22032738.0	81789.0	11370.0
SRX298288	22180424.0	8772152.0	48735.0	9321.0
SRX298289	15615546.0	11429838.0	37726.0	7719.0
SRX298290	14192034.0	15800214.0	41555.0	7060.0
SRX298291	17509556.0	15063116.0	27199.0	3691.0
SRX298292	16381352.0	10394466.0	35283.0	6354.0
SRX298293	15418872.0	14139114.0	46373.0	8500.0
SRX298294	24844176.0	22186948.0	55657.0	7858.0
SRX298295	29903830.0	56968820.0	84102.0	5503.0
SRX298296	17147166.0	10182524.0	43241.0	9116.0
SRX298297	30664720.0	15068468.0	64253.0	10529.0
SRX298298	14991304.0	10725026.0	32955.0	6729.0
SRX298299	16488044.0	8314228.0	26770.0	5840.0
SRX298300	27704370.0	24846610.0	73368.0	9600.0
SRX298301	3248216.0	18494108.0	64294.0	10039.0
SRX298302	36378158.0	43687784.0	120973.0	11619.0
SRX298303	41138842.0	35555310.0	101283.0	10003.0
SRX298304	19630372.0	24523802.0	68037.0	9388.0
SRX298305	27764750.0	29394792.0	93506.0	11509.0
SRX298306	42108816.0	33138754.0	117400.0	12234.0
SRX298307	27203502.0	27989608.0	84346.0	9665.0
SRX298308	20818568.0	22072898.0	106123.0	12779.0
SRX298309	19883700.0	26198108.0	100780.0	12486.0
