Sample	Intergenic	Intronic	Exonic
SRX298280	396185.0	1193369.0	31824696.0
SRX298281	313137.0	872833.0	23316142.0
SRX298282	527481.0	1659842.0	42381327.0
SRX298283	336791.0	1496678.0	32838721.0
SRX298284	490810.0	2070351.0	50387439.0
SRX298285	439479.0	1665930.0	44293025.0
SRX298286	767416.0	3498620.0	84015883.0
SRX298287	2094307.0	2023698.0	45898826.0
SRX298288	232834.0	1199308.0	27637812.0
SRX298289	371349.0	790413.0	23347497.0
SRX298290	509024.0	786132.0	25770054.0
SRX298291	695561.0	831207.0	27556145.0
SRX298292	317898.0	716889.0	23672172.0
SRX298293	328861.0	984560.0	26140921.0
SRX298294	456691.0	1435995.0	41259201.0
SRX298295	901734.0	3367406.0	77074420.0
SRX298296	306856.0	1019534.0	24153489.0
SRX298297	495555.0	1860813.0	40603970.0
SRX298298	253685.0	652287.0	22592389.0
SRX298299	696775.0	650769.0	20547368.0
SRX298300	530082.0	1413939.0	45496615.0
SRX298301	746750.0	748956.0	18268017.0
SRX298302	1113823.0	2721381.0	69643749.0
SRX298303	998507.0	2198622.0	66394255.0
SRX298304	621538.0	1163278.0	38444721.0
SRX298305	524264.0	1897099.0	49931838.0
SRX298306	744581.0	2157586.0	65438089.0
SRX298307	788481.0	1739799.0	48547692.0
SRX298308	757415.0	1225908.0	37840347.0
SRX298309	426078.0	1377658.0	41846855.0
