Sample	Y	2R	4	3L	X	3R	2L
SRX298280	182859	13401523	307388	10224704	4236902	10253444	5580247
SRX298281	158819	10369272	215660	7050053	3269136	6778361	4081637
SRX298282	253752	18481333	388255	13629842	5513766	13449417	7369744
SRX298283	173532	9736953	436106	8181393	5916381	10406550	6214783
SRX298284	303340	15226450	571580	12737581	9045801	16800512	9599026
SRX298285	267336	12442179	551977	12614488	7632549	17611232	8831849
SRX298286	393285	21067229	1130258	18550675	16156821	26708161	20230295
SRX298287	376634	11858152	524006	9977510	18216963	14084789	11082217
SRX298288	148744	6786836	370108	5619306	5550369	9049478	6950775
SRX298289	292268	10356319	209582	8346477	3674887	6531903	3707483
SRX298290	292750	10844388	233137	8619106	4417764	7669598	4245785
SRX298291	215456	11494690	229152	9075340	5701644	8369713	4362116
SRX298292	177602	8589639	192882	6502943	3750767	7065149	4733804
SRX298293	329576	9935509	276559	7113841	4599768	7264237	5273295
SRX298294	385383	15918344	397337	11080313	6373044	12287234	8937397
SRX298295	403074	23190126	953957	17552444	15872572	24464404	15383151
SRX298296	270998	7388510	290518	5512981	5267458	8130680	5021872
SRX298297	363486	12366795	561732	9048218	8324199	13032659	8269930
SRX298298	78912	5795227	199429	6684569	3654337	8875815	4576200
SRX298299	165534	5429100	211644	5813385	6140567	8066952	4419956
SRX298300	316374	12602294	517559	14010111	7254129	20073335	8931955
SRX298301	106571	4809948	159856	5067480	5767272	6221500	3178760
SRX298302	225824	19640783	733979	20230998	13752489	25284255	11770892
SRX298303	184346	19049179	603503	21579731	11723110	25732843	11434342
SRX298304	254034	9435397	405136	8838825	8366090	14785765	9184912
SRX298305	185825	11876396	580039	11201085	9550686	20944817	11417494
SRX298306	232762	15743230	719803	14892784	12019708	28181601	16101351
SRX298307	472084	12638924	498671	10241455	11617928	15575636	12819180
SRX298308	199377	9537903	378825	7614591	9834567	11246898	9332677
SRX298309	118841	10407158	427830	7715651	8686836	11814070	10534600
