Sample	Chromosome X	Chromosome Y
SRX298280	4236902.0	182859.0
SRX298281	3269136.0	158819.0
SRX298282	5513766.0	253752.0
SRX298283	5916381.0	173532.0
SRX298284	9045801.0	303340.0
SRX298285	7632549.0	267336.0
SRX298286	16156821.0	393285.0
SRX298287	18216963.0	376634.0
SRX298288	5550369.0	148744.0
SRX298289	3674887.0	292268.0
SRX298290	4417764.0	292750.0
SRX298291	5701644.0	215456.0
SRX298292	3750767.0	177602.0
SRX298293	4599768.0	329576.0
SRX298294	6373044.0	385383.0
SRX298295	15872572.0	403074.0
SRX298296	5267458.0	270998.0
SRX298297	8324199.0	363486.0
SRX298298	3654337.0	78912.0
SRX298299	6140567.0	165534.0
SRX298300	7254129.0	316374.0
SRX298301	5767272.0	106571.0
SRX298302	13752489.0	225824.0
SRX298303	11723110.0	184346.0
SRX298304	8366090.0	254034.0
SRX298305	9550686.0	185825.0
SRX298306	12019708.0	232762.0
SRX298307	11617928.0	472084.0
SRX298308	9834567.0	199377.0
SRX298309	8686836.0	118841.0
