Sample	Mapped (with MQ>0)	MQ0
SRX298280	36550091.0	432508.0
SRX298281	26789730.0	274244.0
SRX298282	48880576.0	566001.0
SRX298283	36538804.0	311950.0
SRX298284	56201850.0	551056.0
SRX298285	50031894.0	638358.0
SRX298286	93572259.0	618603.0
SRX298287	55364784.0	544013.0
SRX298288	30796546.0	214086.0
SRX298289	26719080.0	371749.0
SRX298290	29661667.0	379196.0
SRX298291	32244451.0	359111.0
SRX298292	26579686.0	237769.0
SRX298293	29259093.0	353766.0
SRX298294	46626658.0	467981.0
SRX298295	86167115.0	795140.0
SRX298296	27032753.0	349294.0
SRX298297	45335938.0	472032.0
SRX298298	25524937.0	231077.0
SRX298299	24548350.0	286532.0
SRX298300	51930879.0	703069.0
SRX298301	21632413.0	184244.0
SRX298302	79428837.0	769697.0
SRX298303	75900991.0	904447.0
SRX298304	43855465.0	376134.0
SRX298305	56792874.0	471683.0
SRX298306	74625649.0	751555.0
SRX298307	54673490.0	613631.0
SRX298308	42697048.0	313320.0
SRX298309	45980298.0	214776.0
