Sample	Unmapped: other	Uniquely mapped	Unmapped: too short	Mapped to too many loci	Mapped to multiple loci
SRX298280	36003.0	17010256.0	2378322.0	228590.0	1509570.0
SRX298281	32627.0	12504832.0	1747878.0	204558.0	1047905.0
SRX298282	53798.0	22693146.0	3176931.0	332745.0	2068687.0
SRX298283	27636.0	17739700.0	4338830.0	198988.0	713736.0
SRX298284	48226.0	27107099.0	5621715.0	352327.0	1323004.0
SRX298285	39617.0	23729472.0	4677817.0	378549.0	1643800.0
SRX298286	58915.0	45232644.0	5805843.0	529687.0	1926997.0
SRX298287	33160.0	25726926.0	4645776.0	478900.0	2274052.0
SRX298288	22057.0	14910041.0	2622894.0	198050.0	624303.0
SRX298289	41008.0	12464687.0	2385004.0	406836.0	1103450.0
SRX298290	40874.0	13787433.0	6081607.0	341392.0	1257306.0
SRX298291	37820.0	14818393.0	1348922.0	307472.0	1498833.0
SRX298292	26486.0	12613076.0	5211971.0	250795.0	816470.0
SRX298293	34915.0	14012655.0	9611616.0	461383.0	821211.0
SRX298294	37939.0	22005550.0	2940295.0	543872.0	1573527.0
SRX298295	67281.0	41738929.0	7638942.0	534377.0	1787001.0
SRX298296	23454.0	13098003.0	3980006.0	320653.0	619199.0
SRX298297	39976.0	22035169.0	5128287.0	433811.0	906207.0
SRX298298	25683.0	11984648.0	2087910.0	106214.0	913201.0
SRX298299	20376.0	11218151.0	4295955.0	232378.0	1215595.0
SRX298300	44213.0	24214369.0	4752911.0	444463.0	2144089.0
SRX298301	14544.0	10131086.0	2145853.0	114038.0	814409.0
SRX298302	68304.0	37723277.0	5049917.0	257602.0	2442286.0
SRX298303	44136.0	35529896.0	5397772.0	220315.0	2928466.0
SRX298304	30613.0	20656786.0	5301528.0	345899.0	1497726.0
SRX298305	33407.0	26886276.0	4469921.0	224337.0	1798510.0
SRX298306	40750.0	35008066.0	7185538.0	290831.0	2745353.0
SRX298307	33768.0	26347434.0	5392820.0	652361.0	1343132.0
SRX298308	20964.0	20570633.0	4357830.0	259641.0	994002.0
SRX298309	19209.0	22437964.0	4151992.0	125602.0	716206.0
