[2024-10-04 22:01:56,067] multiqc                                            [DEBUG  ]  This is MultiQC v1.17
[2024-10-04 22:01:56,076] multiqc                                            [DEBUG  ]  Loading config settings from: multiqc_config.yml
[2024-10-04 22:01:56,076] multiqc                                            [DEBUG  ]  New config: {'report_comment': 'This report has been generated by the <a href="https://github.com/nf-core/rnaseq/releases/tag/3.13.0" target="_blank">nf-core/rnaseq</a> analysis pipeline. For information about how to interpret these results, please see the <a href="https://nf-co.re/rnaseq/3.13.0/docs/output" target="_blank">documentation</a>.\n', 'report_section_order': {'nf-core-rnaseq-methods-description': {'order': -1000}, 'software_versions': {'order': -1001}, 'nf-core-rnaseq-summary': {'order': -1002}}, 'export_plots': True, 'run_modules': ['custom_content', 'fastqc', 'cutadapt', 'fastp', 'sortmerna', 'star', 'hisat2', 'rsem', 'salmon', 'kallisto', 'samtools', 'picard', 'preseq', 'rseqc', 'qualimap'], 'top_modules': ['fail_trimmed_samples', 'fail_mapped_samples', 'fail_strand_check', 'star_rsem_deseq2_pca', 'star_rsem_deseq2_clustering', 'star_salmon_deseq2_pca', 'star_salmon_deseq2_clustering', 'salmon_deseq2_pca', 'salmon_deseq2_clustering', 'biotype_counts', 'dupradar'], 'module_order': [{'fastqc': {'name': 'FastQC (raw)', 'info': 'This section of the report shows FastQC results before adapter trimming.', 'path_filters': ['./fastqc/raw/*.zip']}}, 'cutadapt', 'fastp', {'fastqc': {'name': 'FastQC (trimmed)', 'info': 'This section of the report shows FastQC results after adapter trimming.', 'path_filters': ['./fastqc/trim/*.zip']}}], 'table_columns_visible': {'fastqc': {'percent_duplicates': False}}, 'custom_data': {'fail_trimmed_samples': {'section_name': 'WARNING: Fail Trimming Check', 'description': "List of samples that failed the minimum trimmed reads threshold specified via the '--min_trimmed_reads' parameter, and hence were ignored for the downstream processing steps.", 'plot_type': 'table', 'pconfig': {'id': 'fail_trimmed_samples_table', 'table_title': 'Samples failed trimming threshold', 'namespace': 'Samples failed trimming threshold', 'format': '{:.0f}'}}, 'fail_mapped_samples': {'section_name': 'WARNING: Fail Alignment Check', 'description': "List of samples that failed the STAR minimum mapped reads threshold specified via the '--min_mapped_reads' parameter, and hence were ignored for the downstream processing steps.", 'plot_type': 'table', 'pconfig': {'id': 'fail_mapped_samples_table', 'table_title': 'Samples failed mapping threshold', 'namespace': 'Samples failed mapping threshold', 'format': '{:.2f}'}}, 'fail_strand_check': {'section_name': 'WARNING: Fail Strand Check', 'description': "List of samples that failed the strandedness check between that provided in the samplesheet and calculated by the <a href='http://rseqc.sourceforge.net/#infer-experiment-py'>RSeQC infer_experiment.py</a> tool.", 'plot_type': 'table', 'pconfig': {'id': 'fail_strand_check_table', 'table_title': 'Samples failed strandedness check', 'namespace': 'Samples failed strandedness check', 'format': '{:.2f}'}}}}
[2024-10-04 22:01:56,076] multiqc                                            [DEBUG  ]  Added to filename patterns: [{'cutadapt': {'fn': '*trimming_report.txt'}, 'fastp': {'fn': '*.fastp.json'}, 'sortmerna': {'fn': '*.sortmerna.log'}, 'hisat2': {'fn': '*.hisat2.summary.log'}, 'salmon/meta': {'fn': 'meta_info.json'}, 'preseq': {'fn': '*.lc_extrap.txt'}, 'samtools/stats': {'fn': '*.stats'}, 'samtools/flagstat': {'fn': '*.flagstat'}, 'samtools/idxstats': {'fn': '*.idxstats*'}, 'rseqc/bam_stat': {'fn': '*.bam_stat.txt'}, 'rseqc/gene_body_coverage': {'skip': True}, 'rseqc/junction_annotation': {'fn': '*.junction_annotation.log'}, 'rseqc/read_gc': {'skip': True}, 'rseqc/read_distribution': {'fn': '*.read_distribution.txt'}, 'rseqc/infer_experiment': {'fn': '*.infer_experiment.txt'}, 'rseqc/tin': {'fn': '*.summary.txt'}, 'picard/markdups': {'fn': '*.MarkDuplicates.metrics.txt'}, 'picard/alignment_metrics': {'skip': True}, 'picard/basedistributionbycycle': {'skip': True}, 'picard/gcbias': {'skip': True}, 'picard/hsmetrics': {'skip': True}, 'picard/insertsize': {'skip': True}, 'picard/oxogmetrics': {'skip': True}, 'picard/pcr_metrics': {'skip': True}, 'picard/quality_by_cycle': {'skip': True}, 'picard/quality_score_distribution': {'skip': True}, 'picard/quality_yield_metrics': {'skip': True}, 'picard/rnaseqmetrics': {'skip': True}, 'picard/rrbs_metrics': {'skip': True}, 'picard/sam_file_validation': {'skip': True}, 'picard/variant_calling_metrics': {'skip': True}, 'picard/wgs_metrics': {'skip': True}}]
[2024-10-04 22:01:56,076] multiqc                                            [DEBUG  ]  Added to filename clean extensions: [['.umi_dedup', '_val', '.markdup', '_primary']]
[2024-10-04 22:01:56,076] multiqc                                            [DEBUG  ]  Command used: /usr/local/bin/multiqc -n multiqc_report.html -f .
[2024-10-04 22:01:59,423] multiqc                                            [DEBUG  ]  Could not connect to multiqc.info for version check: module 'packaging.version' has no attribute 'StrictVersion'
[2024-10-04 22:01:59,423] multiqc                                            [DEBUG  ]  Working dir : /scratch4/eande106/Mike/12/a664a65ab509c2728bd241a4b9919a
[2024-10-04 22:01:59,423] multiqc                                            [DEBUG  ]  Template    : default
[2024-10-04 22:01:59,423] multiqc                                            [DEBUG  ]  Running Python 3.12.0 | packaged by conda-forge | (main, Oct  3 2023, 08:43:22) [GCC 12.3.0]
[2024-10-04 22:01:59,423] multiqc                                            [INFO   ]  Only using modules: custom_content, fastqc, cutadapt, fastp, sortmerna, star, hisat2, rsem, salmon, kallisto, samtools, picard, preseq, rseqc, qualimap
[2024-10-04 22:01:59,423] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, hisat2, kallisto, picard, preseq, qualimap, rsem, rseqc, salmon, samtools, sortmerna, star, fastqc, cutadapt, fastp, fastqc
[2024-10-04 22:01:59,423] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /tmp/tmpyd1cjpp9
[2024-10-04 22:01:59,425] multiqc                                            [INFO   ]  Search path : /scratch4/eande106/Mike/12/a664a65ab509c2728bd241a4b9919a
[2024-10-04 22:01:59,425] multiqc                                            [DEBUG  ]  Ignored 255 search patterns as didn't match running modules.
[2024-10-04 22:01:59,425] multiqc                                            [INFO   ]  Skipping 17 file search patterns
[2024-10-04 22:01:59,426] multiqc                                            [DEBUG  ]  Skipping search patterns: picard/alignment_metrics, picard/basedistributionbycycle, picard/gcbias, picard/hsmetrics, picard/insertsize, picard/oxogmetrics, picard/pcr_metrics, picard/quality_by_cycle, picard/quality_score_distribution, picard/quality_yield_metrics, picard/rnaseqmetrics, picard/rrbs_metrics, picard/sam_file_validation, picard/variant_calling_metrics, picard/wgs_metrics, rseqc/gene_body_coverage, rseqc/read_gc
[2024-10-04 22:02:03,428] multiqc                                            [DEBUG  ]  Summary of files that were skipped by the search: [skipped_no_match: 968]
[2024-10-04 22:02:04,759] multiqc.plots.bargraph                             [DEBUG  ]  Using matplotlib version 3.8.1
[2024-10-04 22:02:04,761] multiqc.plots.linegraph                            [DEBUG  ]  Using matplotlib version 3.8.1
[2024-10-04 22:02:04,795] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-rnaseq-methods-description: Found 1 sample (html)
[2024-10-04 22:02:04,796] multiqc.modules.custom_content.custom_content      [INFO   ]  software_versions: Found 1 sample (html)
[2024-10-04 22:02:04,796] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-rnaseq-summary: Found 1 sample (html)
[2024-10-04 22:02:04,796] multiqc.modules.custom_content.custom_content      [INFO   ]  star_salmon_deseq2_pca: Found 30 samples (scatter)
[2024-10-04 22:02:04,796] multiqc                                            [DEBUG  ]  multiqc_star_salmon_deseq2_clustering-plot could not be saved as tsv/csv. Falling back to YAML.
[2024-10-04 22:02:04,810] multiqc.modules.custom_content.custom_content      [INFO   ]  star_salmon_deseq2_clustering: Found 30 samples (heatmap)
[2024-10-04 22:02:07,636] multiqc.modules.picard.picard                      [INFO   ]  Found 30 MarkDuplicates reports
[2024-10-04 22:02:10,433] multiqc.modules.qualimap.qualimap                  [INFO   ]  Found 30 RNASeq reports
[2024-10-04 22:02:12,168] multiqc.modules.samtools.samtools                  [INFO   ]  Found 30 stats reports
[2024-10-04 22:02:12,181] multiqc.modules.samtools.samtools                  [INFO   ]  Found 30 flagstat reports
[2024-10-04 22:02:15,251] multiqc.modules.samtools.samtools                  [INFO   ]  Found 30 idxstats reports
[2024-10-04 22:02:15,264] multiqc.modules.star.star                          [INFO   ]  Found 30 reports
[2024-10-04 22:02:17,210] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298304_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,253] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298295_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,342] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298281_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,388] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298282_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,435] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298307_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,486] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298305_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,542] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298300_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,579] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298301_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,610] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298288_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,642] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298293_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,714] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298282_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,753] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298308_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,789] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298307_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,823] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298303_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,895] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298292_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:17,928] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298308_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,000] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298302_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,053] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298296_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,086] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298293_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,117] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298309_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,150] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298295_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,203] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298294_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,237] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298302_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,273] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298297_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,320] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298281_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,378] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298285_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,414] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298283_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,449] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298290_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,515] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298309_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,557] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298288_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,606] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298284_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,646] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298304_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,682] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298294_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,717] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298303_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,792] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298292_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,866] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298287_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2024-10-04 22:02:18,917] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/raw/SRX298297_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
