Sample	r_with_adapters	r_processed	quality_trimmed	bp_written	percent_trimmed	r_written	bp_processed	cutadapt_version
SRX298280_1	6535796	21540700	45816262	2097097950	2.6448560167496877	21540700	2154070000	3.4
SRX298280_2	6279781	21540700	119713111	2023744278	6.05020830335133	21540700	2154070000	3.4
SRX298281_1	4824005	15842949	34125809	1542108908	2.662761333133118	15842949	1584294900	3.4
SRX298281_2	4628425	15842949	87306728	1489305654	5.995679592227432	15842949	1584294900	3.4
SRX298282_1	8776435	28873778	65841093	2805990706	2.8187199472130042	28873778	2887377800	3.4
SRX298282_2	8435526	28873778	164097452	2708491084	6.195473138291774	28873778	2887377800	3.4
SRX298283_1	7527837	23422674	53266216	2276076325	2.8259401552529826	23422674	2342267400	3.4
SRX298283_2	7297604	23422674	120688416	2209154679	5.683071070365407	23422674	2342267400	3.4
SRX298284_1	11099621	35142429	83857810	3412373665	2.8987533844060693	35142429	3514242900	3.4
SRX298284_2	10730698	35142429	213803107	3283194069	6.5746403300693865	35142429	3514242900	3.4
SRX298285_1	9839305	31081416	70087474	3022946754	2.7410220306565183	31081416	3108141600	3.4
SRX298285_2	9489220	31081416	192691440	2900949704	6.666102213618581	31081416	3108141600	3.4
SRX298286_1	17054639	54737219	125150509	5321337993	2.7839175936212617	54737219	5473721900	3.4
SRX298286_2	16440214	54737219	353915289	5093755883	6.9416390518487985	54737219	5473721900	3.4
SRX298287_1	10793679	33778674	77710568	3282044453	2.836788294294797	33778674	3377867400	3.4
SRX298287_2	10450943	33778674	190847866	3169754698	6.161067838246108	33778674	3377867400	3.4
SRX298288_1	6008548	18763469	42957190	1820455364	2.978742150505325	18763469	1876346900	3.4
SRX298288_2	5837563	18763469	99788928	1764089688	5.9827536155494485	18763469	1876346900	3.4
SRX298289_1	5163558	16791511	40080528	1624856721	3.23344212441632	16791511	1679151100	3.4
SRX298289_2	5000726	16791511	89282299	1576196993	6.131318795550919	16791511	1679151100	3.4
SRX298290_1	6880359	21990420	52417178	2131386124	3.076606813330532	21990420	2199042000	3.4
SRX298290_2	6684160	21990420	121298004	2063453170	6.165813567908208	21990420	2199042000	3.4
