Sample	Filename	%GC	Encoding	basic_statistics	Total Bases	overrepresented_sequences	per_sequence_gc_content	per_tile_sequence_quality	Sequences flagged as poor quality	per_sequence_quality_scores	sequence_length_distribution	per_base_sequence_quality	avg_sequence_length	Total Sequences	adapter_content	per_base_n_content	total_deduplicated_percentage	per_base_sequence_content	median_sequence_length	File type	Sequence length	sequence_duplication_levels
SRX298280_1	SRX298280_1.gz	51.0	Sanger / Illumina 1.9	pass	2.1 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	21540700.0	pass	pass	25.59813724909518	fail	100	Conventional base calls	100.0	fail
SRX298280_2	SRX298280_2.gz	51.0	Sanger / Illumina 1.9	pass	2.1 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	21540700.0	pass	pass	28.257503503732924	fail	100	Conventional base calls	100.0	fail
SRX298281_1	SRX298281_1.gz	50.0	Sanger / Illumina 1.9	pass	1.5 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	15842949.0	pass	pass	28.97232232962228	fail	100	Conventional base calls	100.0	fail
SRX298281_2	SRX298281_2.gz	50.0	Sanger / Illumina 1.9	pass	1.5 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	15842949.0	pass	pass	31.672582191285436	fail	100	Conventional base calls	100.0	fail
SRX298282_1	SRX298282_1.gz	51.0	Sanger / Illumina 1.9	pass	2.8 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	28873778.0	pass	pass	21.756697032116527	fail	100	Conventional base calls	100.0	fail
SRX298282_2	SRX298282_2.gz	51.0	Sanger / Illumina 1.9	pass	2.8 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	28873778.0	pass	pass	24.43367281118768	fail	100	Conventional base calls	100.0	fail
SRX298283_1	SRX298283_1.gz	46.0	Sanger / Illumina 1.9	pass	2.3 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	23422674.0	pass	pass	27.125230464909457	fail	100	Conventional base calls	100.0	fail
SRX298283_2	SRX298283_2.gz	46.0	Sanger / Illumina 1.9	pass	2.3 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	23422674.0	pass	pass	29.42958998565694	fail	100	Conventional base calls	100.0	fail
SRX298284_1	SRX298284_1.gz	47.0	Sanger / Illumina 1.9	pass	3.5 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	35142429.0	pass	pass	24.55412847412706	fail	100	Conventional base calls	100.0	fail
SRX298284_2	SRX298284_2.gz	47.0	Sanger / Illumina 1.9	pass	3.5 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	35142429.0	pass	pass	27.692334695275683	fail	100	Conventional base calls	100.0	fail
SRX298285_1	SRX298285_1.gz	48.0	Sanger / Illumina 1.9	pass	3.1 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	31081416.0	pass	pass	26.73946101262359	fail	100	Conventional base calls	100.0	fail
SRX298285_2	SRX298285_2.gz	48.0	Sanger / Illumina 1.9	pass	3.1 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	31081416.0	pass	pass	30.19721815170519	fail	100	Conventional base calls	100.0	fail
SRX298286_1	SRX298286_1.gz	48.0	Sanger / Illumina 1.9	pass	5.4 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	54737219.0	pass	pass	22.760002907916896	fail	100	Conventional base calls	100.0	fail
SRX298286_2	SRX298286_2.gz	48.0	Sanger / Illumina 1.9	pass	5.4 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	54737219.0	pass	pass	26.870867970471856	fail	100	Conventional base calls	100.0	fail
SRX298287_1	SRX298287_1.gz	47.0	Sanger / Illumina 1.9	pass	3.3 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	33778674.0	pass	pass	25.736950286752062	fail	100	Conventional base calls	100.0	fail
SRX298287_2	SRX298287_2.gz	47.0	Sanger / Illumina 1.9	pass	3.3 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	33778674.0	pass	pass	28.791588682940233	fail	100	Conventional base calls	100.0	fail
SRX298288_1	SRX298288_1.gz	47.0	Sanger / Illumina 1.9	pass	1.8 Gbp	warn	fail	warn	0.0	pass	pass	pass	100.0	18763469.0	pass	pass	32.86663908181689	fail	100	Conventional base calls	100.0	fail
SRX298288_2	SRX298288_2.gz	47.0	Sanger / Illumina 1.9	pass	1.8 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	18763469.0	pass	pass	35.15244012540392	fail	100	Conventional base calls	100.0	fail
SRX298289_1	SRX298289_1.gz	50.0	Sanger / Illumina 1.9	pass	1.6 Gbp	warn	fail	warn	0.0	pass	pass	pass	100.0	16791511.0	pass	pass	26.871827027812667	fail	100	Conventional base calls	100.0	fail
SRX298289_2	SRX298289_2.gz	50.0	Sanger / Illumina 1.9	pass	1.6 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	16791511.0	pass	pass	29.06951859088307	fail	100	Conventional base calls	100.0	fail
SRX298290_1	SRX298290_1.gz	49.0	Sanger / Illumina 1.9	pass	2.1 Gbp	warn	fail	warn	0.0	pass	pass	pass	100.0	21990420.0	pass	pass	20.065628320959327	fail	100	Conventional base calls	100.0	fail
SRX298290_2	SRX298290_2.gz	49.0	Sanger / Illumina 1.9	pass	2.1 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	21990420.0	pass	pass	22.572983106247843	fail	100	Conventional base calls	100.0	fail
SRX298291_1	SRX298291_1.gz	52.0	Sanger / Illumina 1.9	pass	1.8 Gbp	warn	fail	warn	0.0	pass	pass	pass	100.0	18349262.0	pass	pass	24.57986951297708	fail	100	Conventional base calls	100.0	fail
SRX298291_2	SRX298291_2.gz	52.0	Sanger / Illumina 1.9	pass	1.8 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	18349262.0	pass	pass	27.47103428744594	fail	100	Conventional base calls	100.0	fail
SRX298292_1	SRX298292_1.gz	48.0	Sanger / Illumina 1.9	pass	1.9 Gbp	warn	fail	pass	0.0	pass	pass	pass	100.0	19361553.0	pass	pass	24.491086504697208	fail	100	Conventional base calls	100.0	fail
