Sample	Filename	%GC	Encoding	basic_statistics	overrepresented_sequences	per_sequence_gc_content	per_tile_sequence_quality	Sequences flagged as poor quality	per_sequence_quality_scores	sequence_length_distribution	per_base_sequence_quality	avg_sequence_length	Total Sequences	adapter_content	per_base_n_content	total_deduplicated_percentage	per_base_sequence_content	median_sequence_length	File type	Sequence length	sequence_duplication_levels
SRX298280_1	SRX298280_1_val_1.fq.gz	51.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.43957751030455	21162741.0	pass	pass	26.50167488160048	fail	100	Conventional base calls	20-100	fail
SRX298280_2	SRX298280_2_val_2.fq.gz	50.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.14745353638264	21162741.0	pass	pass	28.803355672561224	fail	100	Conventional base calls	20-100	fail
SRX298281_1	SRX298281_1_val_1.fq.gz	50.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.40478858010786	15537800.0	pass	pass	29.788171104657163	fail	100	Conventional base calls	20-100	fail
SRX298281_2	SRX298281_2_val_2.fq.gz	50.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.3562280374313	15537800.0	pass	pass	31.862133639880273	fail	100	Conventional base calls	20-100	fail
SRX298282_1	SRX298282_1_val_1.fq.gz	51.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.30978478009082	28325307.0	pass	pass	22.596772923306958	fail	100	Conventional base calls	20-100	fail
SRX298282_2	SRX298282_2_val_2.fq.gz	51.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.1093294063856	28325307.0	pass	pass	24.90718233818529	fail	100	Conventional base calls	20-100	fail
SRX298283_1	SRX298283_1_val_1.fq.gz	46.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.28240744883875	23018890.0	pass	pass	27.90767445805406	fail	100	Conventional base calls	20-100	fail
SRX298283_2	SRX298283_2_val_2.fq.gz	46.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	95.44421690185756	23018890.0	pass	pass	30.012037982428595	fail	100	Conventional base calls	20-100	fail
SRX298284_1	SRX298284_1_val_1.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	97.23011504781485	34452371.0	pass	pass	25.555996124583725	fail	100	Conventional base calls	20-100	fail
SRX298284_2	SRX298284_2_val_2.fq.gz	47.0	Sanger / Illumina 1.9	pass	warn	fail	pass	0.0	pass	warn	pass	94.76424835898813	34452371.0	pass	pass	28.63676136392041	fail	100	Conventional base calls	20-100	fail
