Sample	Samtools_mqc-generalstats-samtools-mapped_passed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	STAR_mqc-generalstats-star-uniquely_mapped_percent	QualiMap_mqc-generalstats-qualimap-reads_aligned	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	QualiMap_mqc-generalstats-qualimap-5_3_bias	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-mapped_passed_pct	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	Samtools_mqc-generalstats-samtools-error_rate	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Samtools_mqc-generalstats-samtools-reads_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Samtools_mqc-generalstats-samtools-flagstat_total	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-raw_total_sequences
SRX298280	44187067				80.38	18462773.0	1.1694905487848488	1.83					7204468.0	100.0		0.005398084				0.441892	100.0	17010256.0	44187067			99.84573015000919	36982599.0	36982599.0
SRX298280_1		97.43957751030455	2.6448560167496877	100					27.27272727272727	21540700.0	27.27272727272727	74.40186275090483			73.49832511839952		51.0	100	51.0					21162741.0	100.0			
SRX298280_2		95.14745353638264	6.05020830335133	100					27.27272727272727	21540700.0	27.27272727272727	71.74249649626708			71.19664432743878		51.0	100	50.0					21162741.0	100.0			
SRX298281	31922938				80.48	13511237.0	1.0133175563943417	1.85					4858964.0	100.0		0.005324546				0.376382	100.0	12504832.0	31922938			99.8466596221235	27063974.0	27063974.0
SRX298281_1		97.40478858010786	2.662761333133118	100					27.27272727272727	15842949.0	27.27272727272727	71.02767767037773			70.21182889534283		50.0	100	50.0					15537800.0	100.0			
SRX298281_2		95.3562280374313	5.995679592227432	100					27.27272727272727	15842949.0	27.27272727272727	68.32741780871456			68.13786636011973		50.0	100	50.0					15537800.0	100.0			
SRX298282	59086109				80.12	24684744.0	1.1446717535169322	1.78					9639532.0	100.0		0.00536132				0.553312	100.0	22693146.0	59086109			99.84409638709673	49446577.0	49446577.0
SRX298282_1		97.30978478009082	2.8187199472130042	100					27.27272727272727	28873778.0	27.27272727272727	78.24330296788347			77.40322707669304		51.0	100	51.0					28325307.0	100.0			
SRX298282_2		95.1093294063856	6.195473138291774	100					27.27272727272727	28873778.0	27.27272727272727	75.56632718881232			75.0928176618147		51.0	100	51.0					28325307.0	100.0			
SRX298283	41065698				77.07	18397318.0	0.84652270615684	1.9					4214944.0	100.0		0.005086199				0.377509	100.0	17739700.0	41065698			99.84771546329826	36850754.0	36850754.0
