Sample	UNPAIRED_READS_EXAMINED	READ_PAIR_DUPLICATES	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE	READ_PAIR_OPTICAL_DUPLICATES	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	LIBRARY
SRX298280	57053.0	8146311.0	18462773.0	7204468.0	0.441892	14161638.0	0.0	0.0	49688.0	Unknown Library
SRX298281	41500.0	5075805.0	13511237.0	4858964.0	0.376382	13120752.0	0.0	0.0	34784.0	Unknown Library
SRX298282	77089.0	13645587.0	24684744.0	9639532.0	0.553312	12974987.0	0.0	0.0	68201.0	Unknown Library
SRX298283	56118.0	6931881.0	18397318.0	4214944.0	0.377509	17791311.0	0.0	0.0	47733.0	Unknown Library
SRX298284	107300.0	11762562.0	28322803.0	7531384.0	0.416203	23801386.0	0.0	0.0	95582.0	Unknown Library
SRX298285	76292.0	8796151.0	25296980.0	9281358.0	0.348505	27335913.0	0.0	0.0	66541.0	Unknown Library
SRX298286	128420.0	19048859.0	47031221.0	10045862.0	0.405714	41006707.0	0.0	0.0	116792.0	Unknown Library
SRX298287	93159.0	11016369.0	27907819.0	10211474.0	0.395546	25257757.0	0.0	0.0	81789.0	Unknown Library
SRX298288	58056.0	4386076.0	15476288.0	3464984.0	0.284447	21855977.0	0.0	0.0	48735.0	Unknown Library
SRX298289	45445.0	5714919.0	13522692.0	6028090.0	0.423301	11072520.0	0.0	0.0	37726.0	Unknown Library
SRX298290	48615.0	7900107.0	14996124.0	6281665.0	0.527341	8599739.0	0.0	0.0	41555.0	Unknown Library
SRX298291	30890.0	7531558.0	16286336.0	6844549.0	0.462843	11609525.0	0.0	0.0	27199.0	Unknown Library
SRX298292	41637.0	5197233.0	13387909.0	4195331.0	0.388916	12410397.0	0.0	0.0	35283.0	Unknown Library
SRX298293	54873.0	7069557.0	14778993.0	5179926.0	0.479031	9978404.0	0.0	0.0	46373.0	Unknown Library
SRX298294	63515.0	11093474.0	23515562.0	8284413.0	0.472296	16237942.0	0.0	0.0	55657.0	Unknown Library
SRX298295	89605.0	28484410.0	43436325.0	10857473.0	0.656065	16015173.0	0.0	0.0	84102.0	Unknown Library
SRX298296	52357.0	5091262.0	13664845.0	4500970.0	0.373448	13424682.0	0.0	0.0	43241.0	Unknown Library
SRX298297	74782.0	7534234.0	22866594.0	6159049.0	0.330351	26564564.0	0.0	0.0	64253.0	Unknown Library
SRX298298	39684.0	5362513.0	12858165.0	4108475.0	0.417688	10738443.0	0.0	0.0	32955.0	Unknown Library
SRX298299	32610.0	4157114.0	12401136.0	5412256.0	0.335858	14078702.0	0.0	0.0	26770.0	Unknown Library
SRX298300	82968.0	12423305.0	26275490.0	11071809.0	0.473458	18078321.0	0.0	0.0	73368.0	Unknown Library
SRX298301	74333.0	9247054.0	10871162.0	3494730.0	0.850653	1626139.0	0.0	0.0	64294.0	Unknown Library
SRX298302	132592.0	21843892.0	40032971.0	11440686.0	0.546254	21552926.0	0.0	0.0	120973.0	Unknown Library
SRX298303	111286.0	17777655.0	38347076.0	13501616.0	0.464246	27227523.0	0.0	0.0	101283.0	Unknown Library
SRX298304	77425.0	12261901.0	22077087.0	7038560.0	0.555979	11502786.0	0.0	0.0	68037.0	Unknown Library
SRX298305	105015.0	14697396.0	28579771.0	8491785.0	0.514949	17094207.0	0.0	0.0	93506.0	Unknown Library
SRX298306	129634.0	16569377.0	37623785.0	12514035.0	0.441196	28942657.0	0.0	0.0	117400.0	Unknown Library
SRX298307	94011.0	13994804.0	27596555.0	8576757.0	0.507785	16906726.0	0.0	0.0	84346.0	Unknown Library
SRX298308	118902.0	11036449.0	21445733.0	5134470.0	0.515667	12811536.0	0.0	0.0	106123.0	Unknown Library
SRX298309	113266.0	13099054.0	23040904.0	3509912.0	0.569301	11487702.0	0.0	0.0	100780.0	Unknown Library
