Sample	with itself and mate mapped_failed	with mate mapped to a different chr (mapQ >= 5)_passed	secondary_failed	mapped_failed_pct	duplicates_failed	supplementary_failed	duplicates_passed	singletons_passed	properly paired_failed_pct	singletons_failed_pct	read1_passed	singletons_passed_pct	read2_passed	supplementary_passed	read2_failed	properly paired_passed_pct	read1_failed	properly paired_passed	total_failed	properly paired_failed	flagstat_total	mapped_passed_pct	with mate mapped to a different chr (mapQ >= 5)_failed	singletons_failed	with itself and mate mapped_passed	total_passed	paired in sequencing_passed	secondary_passed	mapped_passed	mapped_failed	paired in sequencing_failed	with mate mapped to a different chr_failed	with mate mapped to a different chr_passed
SRX298280	0	0	0	nan	0	0	16342310	57053	nan	nan	18508783	0.15	18473816	0	0	99.85	0	36925546	0	0	44187067	100.0	0	0	36925546	44187067	36982599	7204468	44187067	0	0	0	0
SRX298281	0	0	0	nan	0	0	10186394	41500	nan	nan	13544798	0.15	13519176	0	0	99.85	0	27022474	0	0	31922938	100.0	0	0	27022474	31922938	27063974	4858964	31922938	0	0	0	0
SRX298282	0	0	0	nan	0	0	27359375	77089	nan	nan	24745814	0.16	24700763	0	0	99.84	0	49369488	0	0	59086109	100.0	0	0	49369488	59086109	49446577	9639532	59086109	0	0	0	0
SRX298283	0	0	0	nan	0	0	13911495	56118	nan	nan	18441278	0.15	18409476	0	0	99.85	0	36794636	0	0	41065698	100.0	0	0	36794636	41065698	36850754	4214944	41065698	0	0	0	0
SRX298284	0	0	0	nan	0	0	23620706	107300	nan	nan	28409696	0.19	28343210	0	0	99.81	0	56645606	0	0	64284290	100.0	0	0	56645606	64284290	56752906	7531384	64284290	0	0	0	0
SRX298285	0	0	0	nan	0	0	17658843	76292	nan	nan	25361327	0.15	25308925	0	0	99.85	0	50593960	0	0	59951610	100.0	0	0	50593960	59951610	50670252	9281358	59951610	0	0	0	0
SRX298286	0	0	0	nan	0	0	38214510	128420	nan	nan	47141733	0.14	47049129	0	0	99.86	0	94062442	0	0	104236724	100.0	0	0	94062442	104236724	94190862	10045862	104236724	0	0	0	0
SRX298287	0	0	0	nan	0	0	22114527	93159	nan	nan	27984097	0.17	27924700	0	0	99.83	0	55815638	0	0	66120271	100.0	0	0	55815638	66120271	55908797	10211474	66120271	0	0	0	0
SRX298288	0	0	0	nan	0	0	8820887	58056	nan	nan	15520888	0.19	15489744	0	0	99.81	0	30952576	0	0	34475616	100.0	0	0	30952576	34475616	31010632	3464984	34475616	0	0	0	0
SRX298289	0	0	0	nan	0	0	11467564	45445	nan	nan	13556946	0.17	13533883	0	0	99.83	0	27045384	0	0	33118919	100.0	0	0	27045384	33118919	27090829	6028090	33118919	0	0	0	0
SRX298290	0	0	0	nan	0	0	15841769	48615	nan	nan	15033923	0.16	15006940	0	0	99.84	0	29992248	0	0	36322528	100.0	0	0	29992248	36322528	30040863	6281665	36322528	0	0	0	0
SRX298291	0	0	0	nan	0	0	15090315	30890	nan	nan	16313531	0.09	16290031	0	0	99.91	0	32572672	0	0	39448111	100.0	0	0	32572672	39448111	32603562	6844549	39448111	0	0	0	0
SRX298292	0	0	0	nan	0	0	10429749	41637	nan	nan	13422046	0.16	13395409	0	0	99.84	0	26775818	0	0	31012786	100.0	0	0	26775818	31012786	26817455	4195331	31012786	0	0	0	0
