Sample	*	X	2R	3L	Y	3R	4	2L
SRX298280	[0, 0]	[4236902, 23542271]	[13401523, 25286936]	[10224704, 28110227]	[182859, 3667352]	[10253444, 32079331]	[307388, 1348131]	[5580247, 23513712]
SRX298281	[0, 0]	[3269136, 23542271]	[10369272, 25286936]	[7050053, 28110227]	[158819, 3667352]	[6778361, 32079331]	[215660, 1348131]	[4081637, 23513712]
SRX298282	[0, 0]	[5513766, 23542271]	[18481333, 25286936]	[13629842, 28110227]	[253752, 3667352]	[13449417, 32079331]	[388255, 1348131]	[7369744, 23513712]
SRX298283	[0, 0]	[5916381, 23542271]	[9736953, 25286936]	[8181393, 28110227]	[173532, 3667352]	[10406550, 32079331]	[436106, 1348131]	[6214783, 23513712]
SRX298284	[0, 0]	[9045801, 23542271]	[15226450, 25286936]	[12737581, 28110227]	[303340, 3667352]	[16800512, 32079331]	[571580, 1348131]	[9599026, 23513712]
SRX298285	[0, 0]	[7632549, 23542271]	[12442179, 25286936]	[12614488, 28110227]	[267336, 3667352]	[17611232, 32079331]	[551977, 1348131]	[8831849, 23513712]
SRX298286	[0, 0]	[16156821, 23542271]	[21067229, 25286936]	[18550675, 28110227]	[393285, 3667352]	[26708161, 32079331]	[1130258, 1348131]	[20230295, 23513712]
SRX298287	[0, 0]	[18216963, 23542271]	[11858152, 25286936]	[9977510, 28110227]	[376634, 3667352]	[14084789, 32079331]	[524006, 1348131]	[11082217, 23513712]
SRX298288	[0, 0]	[5550369, 23542271]	[6786836, 25286936]	[5619306, 28110227]	[148744, 3667352]	[9049478, 32079331]	[370108, 1348131]	[6950775, 23513712]
SRX298289	[0, 0]	[3674887, 23542271]	[10356319, 25286936]	[8346477, 28110227]	[292268, 3667352]	[6531903, 32079331]	[209582, 1348131]	[3707483, 23513712]
SRX298290	[0, 0]	[4417764, 23542271]	[10844388, 25286936]	[8619106, 28110227]	[292750, 3667352]	[7669598, 32079331]	[233137, 1348131]	[4245785, 23513712]
SRX298291	[0, 0]	[5701644, 23542271]	[11494690, 25286936]	[9075340, 28110227]	[215456, 3667352]	[8369713, 32079331]	[229152, 1348131]	[4362116, 23513712]
SRX298292	[0, 0]	[3750767, 23542271]	[8589639, 25286936]	[6502943, 28110227]	[177602, 3667352]	[7065149, 32079331]	[192882, 1348131]	[4733804, 23513712]
SRX298293	[0, 0]	[4599768, 23542271]	[9935509, 25286936]	[7113841, 28110227]	[329576, 3667352]	[7264237, 32079331]	[276559, 1348131]	[5273295, 23513712]
SRX298294	[0, 0]	[6373044, 23542271]	[15918344, 25286936]	[11080313, 28110227]	[385383, 3667352]	[12287234, 32079331]	[397337, 1348131]	[8937397, 23513712]
SRX298295	[0, 0]	[15872572, 23542271]	[23190126, 25286936]	[17552444, 28110227]	[403074, 3667352]	[24464404, 32079331]	[953957, 1348131]	[15383151, 23513712]
SRX298296	[0, 0]	[5267458, 23542271]	[7388510, 25286936]	[5512981, 28110227]	[270998, 3667352]	[8130680, 32079331]	[290518, 1348131]	[5021872, 23513712]
SRX298297	[0, 0]	[8324199, 23542271]	[12366795, 25286936]	[9048218, 28110227]	[363486, 3667352]	[13032659, 32079331]	[561732, 1348131]	[8269930, 23513712]
SRX298298	[0, 0]	[3654337, 23542271]	[5795227, 25286936]	[6684569, 28110227]	[78912, 3667352]	[8875815, 32079331]	[199429, 1348131]	[4576200, 23513712]
SRX298299	[0, 0]	[6140567, 23542271]	[5429100, 25286936]	[5813385, 28110227]	[165534, 3667352]	[8066952, 32079331]	[211644, 1348131]	[4419956, 23513712]
SRX298300	[0, 0]	[7254129, 23542271]	[12602294, 25286936]	[14010111, 28110227]	[316374, 3667352]	[20073335, 32079331]	[517559, 1348131]	[8931955, 23513712]
SRX298301	[0, 0]	[5767272, 23542271]	[4809948, 25286936]	[5067480, 28110227]	[106571, 3667352]	[6221500, 32079331]	[159856, 1348131]	[3178760, 23513712]
SRX298302	[0, 0]	[13752489, 23542271]	[19640783, 25286936]	[20230998, 28110227]	[225824, 3667352]	[25284255, 32079331]	[733979, 1348131]	[11770892, 23513712]
SRX298303	[0, 0]	[11723110, 23542271]	[19049179, 25286936]	[21579731, 28110227]	[184346, 3667352]	[25732843, 32079331]	[603503, 1348131]	[11434342, 23513712]
SRX298304	[0, 0]	[8366090, 23542271]	[9435397, 25286936]	[8838825, 28110227]	[254034, 3667352]	[14785765, 32079331]	[405136, 1348131]	[9184912, 23513712]
SRX298305	[0, 0]	[9550686, 23542271]	[11876396, 25286936]	[11201085, 28110227]	[185825, 3667352]	[20944817, 32079331]	[580039, 1348131]	[11417494, 23513712]
SRX298306	[0, 0]	[12019708, 23542271]	[15743230, 25286936]	[14892784, 28110227]	[232762, 3667352]	[28181601, 32079331]	[719803, 1348131]	[16101351, 23513712]
SRX298307	[0, 0]	[11617928, 23542271]	[12638924, 25286936]	[10241455, 28110227]	[472084, 3667352]	[15575636, 32079331]	[498671, 1348131]	[12819180, 23513712]
SRX298308	[0, 0]	[9834567, 23542271]	[9537903, 25286936]	[7614591, 28110227]	[199377, 3667352]	[11246898, 32079331]	[378825, 1348131]	[9332677, 23513712]
SRX298309	[0, 0]	[8686836, 23542271]	[10407158, 25286936]	[7715651, 28110227]	[118841, 3667352]	[11814070, 32079331]	[427830, 1348131]	[10534600, 23513712]
