Sample	is_sorted	maximum_first_fragment_length	sequences	bases_mapped_(cigar)	bases_mapped	reads_QC_failed_percent	raw_total_sequences	reads_MQ0	reads_unmapped	1st_fragments	total_length	inward_oriented_pairs	total_first_fragment_length	error_rate	reads_duplicated_percent	insert_size_average	reads_mapped_percent	reads_QC_failed	mismatches	reads_paired_percent	supplementary_alignments	filtered_sequences	average_first_fragment_length	reads_mapped	reads_mapped_and_paired_percent	average_quality	average_last_fragment_length	reads_mapped_and_paired	reads_unmapped_percent	total_last_fragment_length	insert_size_standard_deviation	bases_duplicated	outward_oriented_pairs	percentage_of_properly_paired_reads_(%)	reads_paired	reads_MQ0_percent	reads_properly_paired	reads_duplicated	pairs_on_different_chromosomes	average_length	last_fragments	maximum_length	pairs_with_other_orientation	reads_properly_paired_percent	non-primary_alignments	maximum_last_fragment_length	bases_trimmed
SRX298280	1.0	100.0	36982599.0	3555969921.0	3576945938.0	0.0	36982599.0	432508.0	0.0	18508783.0	3576945938.0	18439370.0	1812166197.0	0.005398084	44.189187460838006	718.4	100.0	0.0	19195423.0	100.0	0.0	0.0	98.0	36982599.0	99.84573015000919	36.0	96.0	36925546.0	0.0	1764779741.0	1224.4	1574940763.0	23403.0	99.8	36982599.0	1.1694905487848488	36925546.0	16342310.0	0.0	96.0	18473816.0	100.0	0.0	99.84573015000919	7204468.0	100.0	0.0
SRX298281	1.0	100.0	27063974.0	2606660929.0	2620729763.0	0.0	27063974.0	274244.0	0.0	13544798.0	2620729763.0	13495137.0	1326279839.0	0.005324546	37.638204943590324	667.4	100.0	0.0	13879286.0	100.0	0.0	0.0	98.0	27063974.0	99.8466596221235	36.1	96.0	27022474.0	0.0	1294449924.0	1195.7	982610023.0	16100.0	99.8	27063974.0	1.0133175563943417	27022474.0	10186394.0	0.0	96.0	13519176.0	100.0	0.0	99.8466596221235	4858964.0	100.0	0.0
SRX298282	1.0	100.0	49446577.0	4756267789.0	4780877273.0	0.0	49446577.0	566001.0	0.0	24745814.0	4780877273.0	24651003.0	2421882649.0	0.00536132	55.33118096324443	724.7	100.0	0.0	25499878.0	100.0	0.0	0.0	98.0	49446577.0	99.84409638709673	36.0	96.0	49369488.0	0.0	2358994624.0	1248.0	2635714712.0	33741.0	99.8	49446577.0	1.1446717535169322	49369488.0	27359375.0	0.0	96.0	24700763.0	100.0	0.0	99.84409638709673	9639532.0	100.0	0.0
SRX298283	1.0	100.0	36850754.0	3545998697.0	3565101332.0	0.0	36850754.0	311950.0	0.0	18441278.0	3565101332.0	18370934.0	1805005002.0	0.005086199	37.750910062790034	719.5	100.0	0.0	18035655.0	100.0	0.0	0.0	98.0	36850754.0	99.84771546329826	36.1	96.0	36794636.0	0.0	1760096330.0	1180.5	1338802400.0	26384.0	99.8	36850754.0	0.84652270615684	36794636.0	13911495.0	0.0	96.0	18409476.0	100.0	0.0	99.84771546329826	4214944.0	100.0	0.0
SRX298284	1.0	100.0	56752906.0	5434041050.0	5465728873.0	0.0	56752906.0	551056.0	0.0	28409696.0	5465728873.0	28288720.0	2774448350.0	0.005181894	41.62025817673548	717.8	100.0	0.0	28158624.0	100.0	0.0	0.0	98.0	56752906.0	99.81093479160344	35.7	95.0	56645606.0	0.0	2691280523.0	1213.2	2259813383.0	34083.0	99.8	56752906.0	0.9709740678301125	56645606.0	23620706.0	0.0	96.0	28343210.0	100.0	0.0	99.81093479160344	7531384.0	100.0	0.0
SRX298285	1.0	100.0	50670252.0	4850609599.0	4874794522.0	0.0	50670252.0	638358.0	0.0	25361327.0	4874794522.0	25276600.0	2476280780.0	0.005178716	34.85051347287557	726.8	100.0	0.0	25119927.0	100.0	0.0	0.0	98.0	50670252.0	99.84943433871219	35.6	95.0	50593960.0	0.0	2398513742.0	1223.7	1686863868.0	20380.0	99.8	50670252.0	1.2598279558585972	50593960.0	17658843.0	0.0	96.0	25308925.0	100.0	0.0	99.84943433871219	9281358.0	100.0	0.0
SRX298286	1.0	100.0	94190862.0	9027690460.0	9063074223.0	0.0	94190862.0	618603.0	0.0	47141733.0	9063074223.0	46986142.0	4602773917.0	0.004679243	40.57135606211991	705.9	100.0	0.0	42242758.0	100.0	0.0	0.0	98.0	94190862.0	99.86365981022661	35.6	95.0	94062442.0	0.0	4460300306.0	1139.7	3652172228.0	45079.0	99.9	94190862.0	0.6567547922005428	94062442.0	38214510.0	0.0	96.0	47049129.0	100.0	0.0	99.86365981022661	10045862.0	100.0	0.0
SRX298287	1.0	100.0	55908797.0	5366043377.0	5396561809.0	0.0	55908797.0	544013.0	0.0	27984097.0	5396561809.0	27875329.0	2733808179.0	0.005018719	39.55464647182446	729.0	100.0	0.0	26930664.0	100.0	0.0	0.0	98.0	55908797.0	99.83337327039965	35.8	95.0	55815638.0	0.0	2662753630.0	1372.4	2124619665.0	32490.0	99.8	55908797.0	0.9730364972796678	55815638.0	22114527.0	0.0	96.0	27924700.0	100.0	0.0	99.83337327039965	10211474.0	100.0	0.0
SRX298288	1.0	100.0	31010632.0	2983722578.0	3003059792.0	0.0	31010632.0	214086.0	0.0	15520888.0	3003059792.0	15439170.0	1518299864.0	0.005260704	28.444718572649535	730.5	100.0	0.0	15696481.0	100.0	0.0	0.0	98.0	31010632.0	99.81278678873748	36.3	96.0	30952576.0	0.0	1484759928.0	1220.9	848181541.0	37118.0	99.8	31010632.0	0.6903632276826863	30952576.0	8820887.0	0.0	96.0	15489744.0	100.0	0.0	99.81278678873748	3464984.0	100.0	0.0
SRX298289	1.0	100.0	27090829.0	2611538304.0	2624570608.0	0.0	27090829.0	371749.0	0.0	13556946.0	2624570608.0	13486488.0	1325972661.0	0.005739921	42.330059371752704	677.5	100.0	0.0	14990025.0	100.0	0.0	0.0	98.0	27090829.0	99.83224950406648	36.3	96.0	27045384.0	0.0	1298597947.0	1202.4	1105885704.0	36204.0	99.8	27090829.0	1.372231909182255	27045384.0	11467564.0	0.0	96.0	13533883.0	100.0	0.0	99.83224950406648	6028090.0	100.0	0.0
