Sample	insertion_length	uniquely_mapped	unmapped_other_percent	num_ATAC_splices	unmapped_other	uniquely_mapped_percent	num_noncanonical_splices	total_reads	multimapped_toomany_percent	deletion_length	deletion_rate	num_splices	avg_mapped_read_length	unmapped_tooshort	insertion_rate	multimapped	num_annotated_splices	unmapped_mismatches	mismatch_rate	num_GTAG_splices	unmapped_tooshort_percent	multimapped_percent	avg_input_read_length	multimapped_toomany	unmapped_mismatches_percent	num_GCAG_splices
SRX298280	1.95	17010256.0	0.17	5098.0	36003	80.38	7179.0	21162741.0	1.08	2.39	0.01	5767434.0	192.09	2378322	0.01	1509570.0	5753429.0	0	0.5	5687859.0	11.23	7.13	193.0	228590.0	0.0	67298.0
SRX298281	1.92	12504832.0	0.21	1871.0	32627	80.48	7758.0	15537800.0	1.32	2.46	0.01	4292310.0	192.47	1747878	0.01	1047905.0	4281682.0	0	0.49	4221210.0	11.25	6.74	193.0	204558.0	0.0	61471.0
SRX298282	1.91	22693146.0	0.19	4101.0	53798	80.12	9171.0	28325307.0	1.17	2.46	0.01	7732024.0	192.19	3176931	0.01	2068687.0	7714821.0	0	0.5	7625496.0	11.22	7.3	193.0	332745.0	0.0	93256.0
SRX298283	1.79	17739700.0	0.12	2820.0	27636	77.07	8945.0	23018890.0	0.86	2.45	0.02	6940712.0	192.21	4338830	0.02	713736.0	6927346.0	0	0.46	6872135.0	18.84	3.1	193.0	198988.0	0.0	56812.0
SRX298284	1.86	27107099.0	0.14	5634.0	48226	78.68	11166.0	34452371.0	1.02	2.44	0.02	10321995.0	191.2	5621715	0.02	1323004.0	10302561.0	0	0.47	10222830.0	16.32	3.84	192.0	352327.0	0.0	82365.0
SRX298285	1.86	23729472.0	0.13	3134.0	39617	77.88	10187.0	30469255.0	1.24	2.45	0.02	8728265.0	191.26	4677817	0.02	1643800.0	8710732.0	0	0.48	8637578.0	15.35	5.39	192.0	378549.0	0.0	77366.0
SRX298286	1.83	45232644.0	0.11	10611.0	58915	84.46	15723.0	53554086.0	0.99	2.47	0.02	17466156.0	191.48	5805843	0.02	1926997.0	17441090.0	0	0.43	17250526.0	10.84	3.6	192.0	529687.0	0.0	189296.0
SRX298287	1.94	25726926.0	0.1	3875.0	33160	77.59	11369.0	33158814.0	1.44	2.42	0.02	9025399.0	191.57	4645776	0.02	2274052.0	9003943.0	0	0.45	8914898.0	14.01	6.86	192.0	478900.0	0.0	95257.0
SRX298288	1.87	14910041.0	0.12	4155.0	22057	81.13	6368.0	18377345.0	1.08	2.48	0.02	5296731.0	192.13	2622894	0.02	624303.0	5283178.0	0	0.48	5225483.0	14.27	3.4	193.0	198050.0	0.0	60725.0
SRX298289	1.83	12464687.0	0.25	2574.0	41008	76.0	4256.0	16400985.0	2.48	2.2	0.02	4203984.0	192.58	2385004	0.01	1103450.0	4194508.0	0	0.53	4144143.0	14.54	6.73	193.0	406836.0	0.0	53011.0
SRX298290	1.84	13787433.0	0.19	16092.0	40874	64.1	4912.0	21508612.0	1.59	2.26	0.01	4570516.0	192.39	6081607	0.01	1257306.0	4560229.0	0	0.54	4480151.0	28.27	5.85	193.0	341392.0	0.0	69361.0
SRX298291	1.82	14818393.0	0.21	11159.0	37820	82.27	4498.0	18011440.0	1.71	2.24	0.01	4896715.0	193.03	1348922	0.01	1498833.0	4887858.0	0	0.53	4817873.0	7.49	8.32	193.0	307472.0	0.0	63185.0
SRX298292	1.92	12613076.0	0.14	2871.0	26486	66.67	5219.0	18918798.0	1.33	2.28	0.02	4296023.0	191.82	5211971	0.02	816470.0	4287323.0	0	0.51	4221802.0	27.55	4.32	192.0	250795.0	0.0	66131.0
SRX298293	1.9	14012655.0	0.14	2771.0	34915	56.18	5371.0	24941780.0	1.85	2.29	0.02	4807492.0	191.55	9611616	0.02	821211.0	4797185.0	0	0.49	4734397.0	38.54	3.29	192.0	461383.0	0.0	64953.0
SRX298294	1.89	22005550.0	0.14	4230.0	37939	81.2	8763.0	27101183.0	2.01	2.46	0.01	7442101.0	192.38	2940295	0.02	1573527.0	7428664.0	0	0.49	7300095.0	10.85	5.81	193.0	543872.0	0.0	129013.0
SRX298295	1.77	41738929.0	0.13	5535.0	67281	80.63	14762.0	51766530.0	1.03	2.25	0.02	16532082.0	192.62	7638942	0.02	1787001.0	16508182.0	0	0.5	16396533.0	14.76	3.45	193.0	534377.0	0.0	115252.0
SRX298296	1.88	13098003.0	0.13	2260.0	23454	72.6	6463.0	18041315.0	1.78	2.34	0.02	5030010.0	192.56	3980006	0.02	619199.0	5019343.0	0	0.48	4976338.0	22.06	3.43	193.0	320653.0	0.0	44949.0
SRX298297	1.83	22035169.0	0.14	5205.0	39976	77.2	16777.0	28543450.0	1.52	2.46	0.02	8853328.0	192.86	5128287	0.02	906207.0	8838968.0	0	0.49	8760202.0	17.96	3.17	193.0	433811.0	0.0	71144.0
SRX298298	1.92	11984648.0	0.17	1113.0	25683	79.28	5646.0	15117656.0	0.7	2.25	0.02	4043990.0	192.46	2087910	0.02	913201.0	4034814.0	0	0.51	3990707.0	13.82	6.04	193.0	106214.0	0.0	46524.0
SRX298299	1.93	11218151.0	0.12	4349.0	20376	66.06	5035.0	16982455.0	1.37	2.25	0.02	3771923.0	192.66	4295955	0.02	1215595.0	3762905.0	0	0.5	3733472.0	25.3	7.16	193.0	232378.0	0.0	29067.0
SRX298300	1.91	24214369.0	0.14	3102.0	44213	76.63	15532.0	31600045.0	1.41	2.4	0.02	8464532.0	191.85	4752911	0.02	2144089.0	8446041.0	0	0.52	8361115.0	15.05	6.79	192.0	444463.0	0.0	84783.0
SRX298301	2.06	10131086.0	0.11	2354.0	14544	76.63	7030.0	13219930.0	0.86	2.42	0.01	3782200.0	190.81	2145853	0.01	814409.0	3772644.0	0	0.49	3728640.0	16.23	6.16	191.0	114038.0	0.0	44176.0
SRX298302	1.83	37723277.0	0.15	13258.0	68304	82.83	16564.0	45541386.0	0.57	2.38	0.02	13652234.0	192.08	5049917	0.02	2442286.0	13623495.0	0	0.48	13470136.0	11.09	5.36	193.0	257602.0	0.0	152276.0
SRX298303	1.81	35529896.0	0.1	8337.0	44136	80.53	16777.0	44120585.0	0.5	2.02	0.02	12855880.0	191.91	5397772	0.01	2928466.0	12829871.0	0	0.52	12681541.0	12.23	6.64	193.0	220315.0	0.0	149225.0
