Sample	x	y
SRX298280	-75.2703880988998	-53.5101785135225
SRX298281	-81.2056279583926	-61.3177610528069
SRX298282	-71.6658016863857	-60.4247380208714
SRX298283	-20.1525140501835	87.4628936371381
SRX298284	-15.2436081299981	85.0634705445797
SRX298285	12.6277339431154	74.3069361561365
SRX298286	82.2487337311471	-38.5408445515738
SRX298287	71.4310371789697	-35.0284567369195
SRX298288	81.9691350253951	-51.0990575224888
SRX298289	-97.3736611231108	-53.112279664642
SRX298290	-98.7627637317317	-42.7103952760349
SRX298291	-92.7725092082827	-46.2221910685545
SRX298292	-49.8218082689489	-33.265559013443
SRX298293	-76.1113882482087	-56.1257209067896
SRX298294	-59.6657635384027	-44.4957557458941
SRX298295	-31.553176268783	92.0057063940436
SRX298296	-43.0591937467645	89.7338867801548
SRX298297	-32.8488968740153	93.5341836479561
SRX298298	36.4458809852819	37.9394090989644
SRX298299	12.749897154211	21.6735012632752
SRX298300	15.715324134528	59.9790498288289
SRX298301	33.0263123766408	36.5613302231732
SRX298302	12.4087674693172	64.9563375845823
SRX298303	7.21018057811234	55.7904068713173
SRX298304	76.431788891249	-16.0899241577372
SRX298305	67.0240949700707	-12.9761219812672
SRX298306	74.9546179244242	-14.5108572444992
SRX298307	86.9162473356139	-60.465883182399
SRX298308	83.3012686959709	-63.4243817586409
SRX298309	91.046080538061	-55.6870056320656
