Sample	reads_aligned_overlapping_exon	ambiguous_alignments	5_3_bias	reads_aligned	not_aligned	non_unique_alignments	reads_aligned_exonic	total_alignments	reads_aligned_intergenic	bam_file	reads_aligned_intronic	reads_aligned_genes
SRX298280	532265.0	553437.0	1.83	18462773.0	0.0	10219380.0	31824696.0	44187067.0	396185.0	SRX298280.markdup.sorted.bam	1193369.0	31824696.0
SRX298281	394903.0	469320.0	1.85	13511237.0	0.0	6951506.0	23316142.0	31922938.0	313137.0	SRX298281.markdup.sorted.bam	872833.0	23316142.0
SRX298282	731245.0	746404.0	1.78	24684744.0	0.0	13771055.0	42381327.0	59086109.0	527481.0	SRX298282.markdup.sorted.bam	1659842.0	42381327.0
SRX298283	752066.0	753073.0	1.9	18397318.0	0.0	5640435.0	32838721.0	41065698.0	336791.0	SRX298283.markdup.sorted.bam	1496678.0	32838721.0
SRX298284	1063458.0	1162514.0	1.89	28322803.0	0.0	10173176.0	50387439.0	64284290.0	490810.0	SRX298284.markdup.sorted.bam	2070351.0	50387439.0
SRX298285	903172.0	988479.0	1.87	25296980.0	0.0	12564697.0	44293025.0	59951610.0	439479.0	SRX298285.markdup.sorted.bam	1665930.0	44293025.0
SRX298286	1725461.0	2059329.0	2.33	47031221.0	0.0	13895476.0	84015883.0	104236724.0	767416.0	SRX298286.markdup.sorted.bam	3498620.0	84015883.0
SRX298287	934702.0	1349171.0	1.96	27907819.0	0.0	14754269.0	45898826.0	66120271.0	2094307.0	SRX298287.markdup.sorted.bam	2023698.0	45898826.0
SRX298288	553258.0	694111.0	1.84	15476288.0	0.0	4711551.0	27637812.0	34475616.0	232834.0	SRX298288.markdup.sorted.bam	1199308.0	27637812.0
SRX298289	374028.0	378522.0	2.07	13522692.0	0.0	8231138.0	23347497.0	33118919.0	371349.0	SRX298289.markdup.sorted.bam	790413.0	23347497.0
SRX298290	396980.0	464852.0	2.05	14996124.0	0.0	8792466.0	25770054.0	36322528.0	509024.0	SRX298290.markdup.sorted.bam	786132.0	25770054.0
SRX298291	442294.0	525718.0	1.99	16286336.0	0.0	9839480.0	27556145.0	39448111.0	695561.0	SRX298291.markdup.sorted.bam	831207.0	27556145.0
SRX298292	417328.0	479886.0	1.88	13387909.0	0.0	5825941.0	23672172.0	31012786.0	317898.0	SRX298292.markdup.sorted.bam	716889.0	23672172.0
SRX298293	477138.0	518670.0	2.0	14778993.0	0.0	6819773.0	26140921.0	34792785.0	328861.0	SRX298293.markdup.sorted.bam	984560.0	26140921.0
SRX298294	730551.0	799370.0	2.07	23515562.0	0.0	11427795.0	41259201.0	55379052.0	456691.0	SRX298294.markdup.sorted.bam	1435995.0	41259201.0
SRX298295	1777236.0	2048313.0	1.92	43436325.0	0.0	14427855.0	77074420.0	97819728.0	901734.0	SRX298295.markdup.sorted.bam	3367406.0	77074420.0
SRX298296	519282.0	665643.0	1.72	13664845.0	0.0	5737495.0	24153489.0	31883017.0	306856.0	SRX298296.markdup.sorted.bam	1019534.0	24153489.0
SRX298297	883935.0	1037875.0	1.8	22866594.0	0.0	7968806.0	40603970.0	51967019.0	495555.0	SRX298297.markdup.sorted.bam	1860813.0	40603970.0
SRX298298	431271.0	433385.0	2.11	12858165.0	0.0	5932743.0	22592389.0	29864489.0	253685.0	SRX298298.markdup.sorted.bam	652287.0	22592389.0
SRX298299	401588.0	511037.0	1.95	12401136.0	0.0	7841189.0	20547368.0	30247138.0	696775.0	SRX298299.markdup.sorted.bam	650769.0	20547368.0
SRX298300	873860.0	910403.0	1.98	26275490.0	0.0	15354718.0	45496615.0	63705757.0	530082.0	SRX298300.markdup.sorted.bam	1413939.0	45496615.0
SRX298301	489896.0	426842.0	2.42	10871162.0	0.0	5120822.0	18268017.0	25311387.0	746750.0	SRX298301.markdup.sorted.bam	748956.0	18268017.0
SRX298302	1605101.0	1841485.0	1.88	40032971.0	0.0	16318782.0	69643749.0	91639220.0	1113823.0	SRX298302.markdup.sorted.bam	2721381.0	69643749.0
SRX298303	1347825.0	1363701.0	1.91	38347076.0	0.0	19351969.0	66394255.0	90307054.0	998507.0	SRX298303.markdup.sorted.bam	2198622.0	66394255.0
SRX298304	736723.0	1010470.0	2.03	22077087.0	0.0	10030152.0	38444721.0	51270159.0	621538.0	SRX298304.markdup.sorted.bam	1163278.0	38444721.0
SRX298305	1043038.0	1319214.0	2.1	28579771.0	0.0	12083927.0	49931838.0	65756342.0	524264.0	SRX298305.markdup.sorted.bam	1897099.0	49931838.0
SRX298306	1234720.0	1553778.0	1.95	37623785.0	0.0	17997205.0	65438089.0	87891239.0	744581.0	SRX298306.markdup.sorted.bam	2157586.0	65438089.0
SRX298307	1010399.0	1528129.0	1.97	27596555.0	0.0	11259777.0	48547692.0	63863878.0	788481.0	SRX298307.markdup.sorted.bam	1739799.0	48547692.0
SRX298308	782185.0	1202741.0	1.92	21445733.0	0.0	7118427.0	37840347.0	48144838.0	757415.0	SRX298308.markdup.sorted.bam	1225908.0	37840347.0
SRX298309	791838.0	1114805.0	2.16	23040904.0	0.0	4939590.0	41846855.0	49704986.0	426078.0	SRX298309.markdup.sorted.bam	1377658.0	41846855.0
