gene_id	gene_name	A1-3_Rep1	A1-3_Rep2	A1-3_Rep3	Cu-LFC-Fe_Rep1	Cu-LFC-Fe_Rep2	Cu-LFC-Fe_Rep3	P1-4_Rep1	P1-4_Rep2	P1-4_Rep3	A1_Rep1	A1_Rep2	A1_Rep3	A2-3_Rep1	A2-3_Rep2	A2-3_Rep3	Cu_Rep1	Cu_Rep2	Cu_Rep3	LFC-Fe_Rep1	LFC-Fe_Rep2	LFC-Fe_Rep3	Fe_Rep1	Fe_Rep2	Fe_Rep3	P1_Rep1	P1_Rep2	P1_Rep3	P2-4_Rep1	P2-4_Rep2	P2-4_Rep3
FBgn0000003	FBgn0000003	249	204.736	176	0	0	247	0	933	0	392	0	703.135	587	0	432	0	0	675	0	1182.06	425	4641	4251.114	882.936	424.747	408	0	0	2068	272
FBgn0000008	FBgn0000008	27	25.749	49	57	169	141	434	227.001	51	66	75	108.999	73	160	123	206	76	83	121	122	153	103	355	368.001	313	313	483	83	110	90
FBgn0000014	FBgn0000014	10	8	20	75.999	86	57.075	166.001	75	45	2	0	1	5	8	12	96	37	45	28	40	92	48	95	123	11	57	74	11	34	50
FBgn0000015	FBgn0000015	0.975	0	2	0	2	1	53	44	37	1	12.001	1	6.001	8.003	3.98	10	3	7	7	2	0	4.3	1	1	6	1	2	26	39	24
FBgn0000017	FBgn0000017	538	370.999	766.539	778.634	1263.108	1135.999	1510.491	1071.337	630.169	403.235	357.024	295.043	262.317	554.726	652.753	2244.244	750.747	1223.197	463.721	375.297	1043.078	318.463	1169.461	960.757	882	762.88	1588.001	549.749	346.999	699.638
FBgn0000018	FBgn0000018	210	119	249	271	400	316	839	409	256	297.007	169	210	135	1290.145	291	606	298	372	142	556.954	364	61	486	372	363	355	385	475	707.207	277
FBgn0000022	FBgn0000022	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000024	FBgn0000024	2530	1951	3074	120	242.001	245	1033	529	708	1060	1421	1074	773.001	1067.999	1449.317	205	30	64	227	140.999	299.001	131.115	843	891	247	811.001	1108	522	401	926.001
FBgn0000028	FBgn0000028	3	4	2	0	8	6	15	12.067	7	5	5.021	5	5	1	3	2	5.002	5	2	7	4.006	8	7	5.049	5	12	20.007	8	3	3.04
FBgn0000032	FBgn0000032	576	365	685	951	1538	1668	1688	860	659	347	563	455	413	356	577	2382	742	1208	601	492	1464	286	2188	2025.005	962	1181.998	1864	886	963	1105
FBgn0000036	FBgn0000036	1	0	1	1	2	1.001	2	0	0	1	2	2	1	1	0	7	1	12	0	1	0	11	0	5	1	2	0	5	0	0
FBgn0000037	FBgn0000037	8	5.008	5	4	13	8	11	11	7	10	5	0	7	5	10	13	5	15	7	6	6	0	9	7	7	10.43	7	1	5	13
FBgn0000038	FBgn0000038	53	36	86	101	147	59	81	138	75	29	80	5	79.998	49	43	73.444	69	125.992	78	44	106.001	51	77	78	136	94	82	85	107.998	134.999
FBgn0000039	FBgn0000039	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1.003	0	0	0	0	0	1	0	1	0	1	0	0
FBgn0000042	FBgn0000042	48076.937	31229.001	49064.871	115517.81	205110.811	111259.984	371836.554	208841.803	68574.76	56195.834	64447.876	84392.958	94894.766	100498.747	140131.95	387422.036	148273.404	216796.282	81811.488	79963.342	138564.65	86961.974	222983.628	171605.627	187990.914	227880.867	204757.86	284539.887	256919.556	153420.506
FBgn0000043	FBgn0000043	788	521	739.001	5054	12376	5317.686	33828.997	19262	2703	2607	4496	5175	5237	5309	6960	21297	9053.716	8363.989	8064	8780.117	13317	11226	21389	15817	25995	21825	20926.997	35554	34144.136	10675
FBgn0000044	FBgn0000044	1089.025	483	1032.098	2811.247	3100.265	1607	8071.999	4949.182	1433.137	774.11	371.18	587.032	879.154	957.147	1241.152	7137.308	2705.647	3960.389	1772.384	2338.388	3240.228	554.015	3744.462	4182.502	605.554	1400.253	1816.069	1179.247	4905.001	1917.202
FBgn0000045	FBgn0000045	49.001	23	63.001	13	103.001	29	92.001	157.008	53.004	97.004	60.009	67.001	40.005	150.026	115.003	96.976	28.002	20.001	21.003	18.003	37.002	9	61.001	61.003	68.003	38.001	62.002	158.005	72.009	53.003
FBgn0000046	FBgn0000046	201.036	93	161.028	603.942	747.923	265.016	2714.447	1534.777	506.099	86.004	46.928	67.008	156.05	200.414	287.895	1444.793	515.922	999.2	286.125	541.647	667.314	185.011	857.908	866.869	196.529	516.879	653.065	429.861	1174.297	660.116
FBgn0000047	FBgn0000047	33.001	15	35.001	1	4	56	0	0	12.001	95.012	30.007	19	6.006	3	11	19.036	43.004	16.001	6.001	25.007	12.023	6	0	3	1	0	2.002	2	0	1
FBgn0000052	FBgn0000052	693.475	394.939	1021.181	484.325	667	867	1610	817	632	921	765	864	316.999	1319	1469.999	2469.38	588	598.001	362	488	1130.001	353	1723	753	691	1003	1111.001	811	673	735
FBgn0000053	FBgn0000053	312	324.999	595	254	391	782	1481.001	689.999	759	288	378.004	293	201	386	715.999	2666	432	501	332	355	903	218	1037	828	453	680.001	1307.001	829	665.96	1113
FBgn0000055	FBgn0000055	1380	1570	1916.001	1724	1058.714	2084	4280	2925.826	2112.47	2242.448	3181	3937.982	1387.601	534.001	1389.688	13216	511	861.957	527.01	484.999	2173.343	512	8844.072	3297	1364	4197	3101.858	8569.051	11253.716	9397.149
FBgn0000056	FBgn0000056	0	0	0	0	13.286	0	0	51.174	23.53	54.551	0	69.018	35.4	0	52.311	0	0	10.043	0	0	16.656	0	54.928	0	0	0	32.141	134.949	152.283	133.851
FBgn0000057	FBgn0000057	394	292	613	293	481	489	918	451	347	199	277	284	319	448	629	700	250	373	240	217	553	199	785	564	532	835	934	620	557	537
FBgn0000061	FBgn0000061	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1
FBgn0000063	FBgn0000063	5	7	3.015	13	16	101	65	21	17	8	45	5	3	11	21	35	23	45	28	9	200	0	56	24	137	40	260	20	43	90
FBgn0000064	FBgn0000064	9507.465	6937.979	11943.879	9826.998	14260.716	11042.825	32450.59	16328.584	10452.59	6777.589	7251	9185.611	10225.999	8761.428	16660.273	28538.88	9183.98	13178.976	5808.996	5249.915	10900.74	5007.999	22722.707	14557.888	11072.883	16343.858	15981.524	22202.584	19065.997	17424.601
FBgn0000071	FBgn0000071	0	2	2	1	5	3	7	2	0	4	12	8	12	4	4	17	4	6	6	5	9	0	20	15	4	8	8	2	4	1
FBgn0000075	FBgn0000075	17	14	20	0	0	762	6	3	6	14	97	26	3	2.916	0	10	0	0	0	1	1	0	1	3	0	10	2	8	7	10
FBgn0000077	FBgn0000077	200	124	241	186	237	286	573	261	173	101	150.999	137	120	113.594	157	376	138	240	115	108	291	92	322	293	234	351	400	304	239.261	339
FBgn0000078	FBgn0000078	71580.212	52456.666	104817.795	13964.085	29705.226	24805.558	37026.758	18981.443	3174.815	217482.917	191932.161	157010.737	27009.191	53134.299	113384.463	21867.748	6682.671	6197.051	36765.26	38875.701	137870.991	20189.874	71425.795	129926.076	20041.146	30919.834	56182.437	2525.908	1041.37	570.914
FBgn0000079	FBgn0000079	106388.241	71921.334	146069.205	16409.915	47761.774	35447.443	47714.243	27123.557	4083.185	285410.407	297474.84	265601.263	52614.809	81855.696	165699.537	37886.252	11485.329	9014.95	57017.739	58595.3	203907.009	26376.127	106426.205	181480.924	31253.854	42901.165	94073.563	3846.093	1939.629	1195.086
FBgn0000083	FBgn0000083	1237.125	886.162	1401.189	2787.128	4839.076	3353.999	6955.581	4695.228	1533.032	970.883	1372.001	1455.861	2571.66	1605	2970	14926.043	3118.461	4197.309	2053.999	1388.091	3895.748	1979	6029.094	5303.124	3560.229	3270.508	3788.304	7215.156	6111.85	4020.999
FBgn0000084	FBgn0000084	369	267	482	615	1278	719	1848	1073	384	494	654	794	543	553	1140	2833	932.003	1224.002	488	489	1157	888	1886	1821.002	1327	1288	1864	1623	1473	960
FBgn0000092	FBgn0000092	1	0	0	3	6	5	7	6	1	6	1	2	0	4	1	5	0	4	1	2	3	0	5	7	5	4	7	4	1	2
FBgn0000094	FBgn0000094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
